position,company,description,numreview,location
"Senior Scientist, Development",Asuragen,"<span id=""job_summary"" class=""summary""><div><div><div><div><p>Asuragen is seeking outstanding Ph.D.-level scientists to join our Product Development group that is charged with verifying and validating PCR-based assays for the detection and quantification of nucleic acid biomarkers. This high-impact position will help expand Asuragen’s molecular diagnostics portfolio that currently influences over 15 million patient management decisions each year.
</p><br>
<p>The Product Development Senior Scientist position combines strong technical know-how about amplification technologies with design control processes and regulatory compliance to guide the development of diagnostic systems that integrate reagents, instruments and software. Working as part of a cross-functional team, this role is expected to receive prototype assays from Asuragen’s Research group and then achieve verified and/or analytically validated products through carefully designed and documented internal and external studies. Key responsibilities include developing assay design inputs/outputs, determining assay failure modes, setting data-driven performance tolerances, and designing, executing and interpreting studies that address assay accuracy, precision, analytical sensitivity and specificity, and other relevant verification or validation activities while documenting results consistent with FDA and international regulatory requirements. Successful candidates will join a fast-growing company of nearly 160 employees focused on enhancing patient care through the development of cutting-edge diagnostic assays in disease areas spanning genetic disorders and cancer.
</p><br>
<p><b>Qualifications:</b></p>
<ul>
<li>A Ph.D. degree in biology, chemistry, biomedical engineering, or related field
</li><li>Expertise in developing and optimizing PCR-based assays
</li><li>Working knowledge and, ideally, demonstrated application of CLSI, ISO and FDA guidelines for product development</li>
<li>Ability to analyze complex data with relevant statistical methods and clearly communicate to technical and non-technical audiences</li>
<li>Ability to drive successful project outcomes through intra- and inter-team collaborations</li>
<li>Ability to assimilate information from multiple sources and present clear and specific recommendations to management and project teams</li>
<li>Ability to establish and maintain external relationships with key opinion leaders and/or subject matter experts</li>
<li>Excellent written and verbal communication skills</li>
<li>A passion for improving patient care through diagnostic technologies, particularly in genetics and oncology</li>
</ul>
<br>
<p><b>Preferable Experience and Skills:</b></p>
<ul>
<li>At least 2-4 years post-Ph.D. laboratory experience
</li><li>Expertise in developing high plexity DNA or RNA PCR assays for use with samples such as blood or FFPE tissue, especially those that can detect SNP/SNV, indel, and/or CNV markers</li>
<li>Effective management of one or more junior scientists</li>
<li>Prior experience with developing products within a formalized project management structure</li>
<li>Experience in developing regulated molecular diagnostic tests, especially FDA-approved tests, is a plus</li>
</ul>
<br>
<p><b>About Asuragen</b></p>
<p>
Asuragen is a molecular diagnostics company that is using genomics to drive better patient management through best-in-class clinical testing solutions. The Company enlists a breadth of technologies and talent to discover, develop and commercialize diagnostic products and services with efficiency and flexibility for internal projects and partners in biotechnology and pharmaceutics. Asuragen is located in Austin, Texas, which is consistently ranked in the top 10 of “best of” lists of US cities and offers a superior lifestyle along with top-notch technology, educational, and business benefits. The Company provides a competitive salary, medical, dental, disability and life insurance, a 401(k) plan with company matching, an employee bonus plan, and a tuition reimbursement plan.</p></div></div></div></div></span>",8 reviews,"Austin, TX"
Data Software Engineer,Kelvin,"<span id=""job_summary"" class=""summary""><div><b>About Us:</b><br>
The goal is intelligent control for a dynamic world. We use A.I. to simplify the management of complex systems. We bring the next generation of control systems to leading industrial clients. Kelvin develops combinations of sensors, software and artificial intelligence to simplify complex systems. Our team consists of leading domain experts, data scientists and designers solving problems in the physical world. We have Fortune 500 clients across some of the largest sectors in the world and are backed by leading Silicon Valley investors.<br>
<br>
As a Software Engineer, you’ll be working with Data Scientists to develop tools for building and maintaining models that control and optimize industrial processes, building on top of Kelvin’s API and frontend platform to help people work intelligently with large amounts of data constantly being streamed in from remote locations.<br>
<br>
You’ll be embedded in a team of data scientists and industry experts who need tools to allow them to work better with each other and share and extend ideas, regardless of their technical level.<br>
<br>
<b>You’ll Fit Right If...</b><br>
<ul><li>You want to build tools that people will love to use every day</li><li>
You want the chance to have input into shaping the way people use data science to solve real-world problems</li><li>
You care about which tools you and others use</li><li>
You want to work closely with people who care about the product</li><li>
You find solving a mysterious bug and exciting chance to show your detective skills</li><li>
Not only do tabs and spaces matter (no judgements!), but you care about newlines, encodings, compression, timezones and consistent naming schemes, too</li></ul><h3 class=""jobSectionHeader""><b>
Requirements</b></h3><ul><li>
Background in software development (bachelor level - engineering, science, mathematics, finance) with 5+ years of experience</li><li>
High proficiency in programming, preferably in Python - other languages a bonus (R, C, Go, SQL)</li><li>
Experience writing asynchronous processes: threads, coroutines</li><li>
Experience with data modelling and databases</li><li>
Big data, stream and batch processing</li><li>
Data manipulation, summarisation and visualisation</li><li>
Experience developing tools using cloud-based service providers such as AWS and GCP</li><li>
Software version control and continuous deployment/integration experience</li><li>
Experience with creating flexible tools around RESTful APIs</li><li>
Experience with testing software: unit testing, integration testing</li></ul></div></span>",5 reviews,"Austin, TX"
Bioinformatics Scientist,Premierehire,"<span id=""job_summary"" class=""summary""><p>CONTRACT TO HIRE OPPORTUNITY</p><p>You will be an integral part of an enthusiastic and dedicated team of scientists and engineers working toward development and validation of cutting edge scientific solutions applying unique bioinformatics solutions to Next Generation Sequencing (NGS) data. Your job is to develop and test customized analytical solutions that leverage current Ion Torrent™ software frameworks for measuring gene expression and variant detection using targeted NGS panels for clinical diagnostics applications. In addition, you will have the opportunity to develop potentially novel algorithms that may be packaged into R&amp;D analytical modules.</p><p><b>Responsibilities; </b>Using current analytical software workflows, design analytical strategies with fully defined metrics to evaluate performance of custom NGS assays targeting specific gene targets and generating gene expression profiles. Modify and integrate any panel specific parameter customizations while developing a testing schema to be employed for assay validation which includes all relevant variant calling metrics as defined by you and the clinical assay development R&amp;D team. Position also will require regular communication with Ion Torrent(TM) software teams and R&amp;D assay development teams. Position also requires frequent data analysis / software development summaries to be presented to and reviewed by the team and coordinate with various stakeholders in system/primary/secondary/tertiary analysis to drive issues to resolution</p><p><b>Minimum Qualifications: </b>MS or higher in Bioinformatics, Biomedical engineering, Computer science/engineering or related fields. BS degree in Molecular biology with 3+ years of working experiences in bioinformatics field will also be considered. Strong knowledge of sequence analysis and bioinformatics tools and public databases, e.g. dbSNP, IGV, BLAST, Ensembl, NCBI tools, UCSC Genome browser, OMIM, COSMIC etc.3+ years of Software development skills and experience. Strong development skills using Python (and secondarily Perl) is needed. Strong expertise working in a Linux/Unix environment. Good understanding of software design and development cycle will be required.</p><p><b>Preferred</b> <b>Qualifications</b>: Product development and / or industry experience in a multi-disciplinary Biotech environment is a plus. Knowledge of genomic variant analysis methods and common visualization methods (e.g. ggplot) packages are highly desirable. Knowledge of molecular biology and experience with Software production tools (IDE, source control, and document tracking) and Test Management (HP QC, JIRA, Confluence) is a plus. Must have the ability to communicate effectively with scientists, engineers and software developers and be detail oriented and self-driven.</p><p>Job Type: Full-time</p><p>Salary: $60.00 to $80.00 /hour</p><p>Experience:</p><ul><li>Bioinformatics: 3 years</li></ul><p>Education:</p><ul><li>Bachelor's</li></ul></span>",5 reviews,"Austin, TX"
"Research Engineering/ Scientist Associate II - Research Associate, Data Integration Team, Department of Population Health",University of Texas at Austin,"<span id=""job_summary"" class=""summary""><div><div><div><div>Purpose
<p>To provide support to the Data Integration division for day-to-day research programs including operational and programmatic support.
</p></div><div>Essential Functions
<p>Provide technical support and evaluation assistance for various Data Integration projects. Help maintain regular communications with data partners, team members, and other stakeholders. Assist in tracking data requests and assignments, helping monitor and troubleshoot data integration-project related issues. Analyze and report results. Present materials and findings and follow-up on decisions related to technical and data science issues. Coordinate meetings, create agendas. Organize and maintain operations, budget, and project-related documents. Support the Data Integration Program Manager and Director in processing hiring requests, financial reporting, and other research-related activities. Work independently and exercise good judgment.
</p></div><div>Marginal/Incidental functions
<p>Other related functions as assigned.
</p></div><div>Required qualifications
<p>Bachelor's degree in a related field and two years of experience coordinating or administering a research or technical project or a program. Strong organizational skills, ability to prioritize multiple ongoing responsibilities, and attention to details. Must possess effective oral and written communication skills, and creative problem-solving abilities. Strong interest in organizing and streamlining processes or tasks and helping others get organized. The required skill set includes a working knowledge of the Microsoft suite including Word, Excel, Outlook, and PowerPoint in addition to basic data science. The Dell Medical School is especially interested in qualified candidates who can contribute to diversity and excellence within the learning health system. At the Dell Medical School, we strive to create a vital, inclusive health ecosystem. To ensure alignment, we follow these fundamental values: Equivalent combination of relevant education and experience may be substituted as appropriate.
</p></div><div>Preferred Qualifications
<p>More than two years of experience administering specified phases of research projects and reporting results of technical meetings. Project coordination experience in a health or data-related field such as data-analytics, data base management, or public health informatics. Experience supporting hiring processes and budget management to complete technical or research projects. Background in a health-related organization, working with academic or clinical leaders, academic, or research environments. Familiarity with University accounting and HR policy, procedures, and forms. Knowledge of university procedures and policies to support research and scientific projects.
</p></div><div>Working conditions
<p>May work around standard office conditions Repetitive use of a keyboard at a workstation
</p></div></div><div><div><p>A criminal history background check will be required for finalist(s) under consideration for this position.
</p><p>The retirement plan for this position is Teacher Retirement System of Texas (TRS), subject to the position being at least 20 hours per week and at least 135 days in length.
</p><p>The University of Texas at Austin, as an equal opportunity/affirmative action employer, complies with all applicable federal and state laws regarding nondiscrimination and affirmative action. The University is committed to a policy of equal opportunity for all persons and does not discriminate on the basis of race, color, national origin, age, marital status, sex, sexual orientation, gender identity, gender expression, disability, religion, or veteran status in employment, educational programs and activities, and admissions.
</p><p>If hired, you will be required to complete the federal Employment Eligibility Verification form, I-9. You will be required to present acceptable, original documents to prove your identity and authorization to work in the United States. Information from the documents will be submitted to the federal E-Verify system for verification. Documents must be presented no later than the third day of employment. Failure to do so will result in dismissal.
</p><p>UT Austin is a Tobacco-free Campus</p></div></div></div></div></span>",772 reviews,"Austin, TX"
Lead Data Scientist,Clockwork Solutions,"<span id=""job_summary"" class=""summary""><div><p><i>US CITIZENS ONLY PLEASE** This role will work on US Department of Defense analysis projects. Due to customer requirements under Bona Fide Occupational Qualification rules, valid applicants must be US citizens.</i></p><br>
<p>
Clockwork Solutions is seeking a<b> Lead Data Scientist </b>to join our Services team and help us answer some of the toughest questions facing enterprises with strategic, capital intensive assets. In this role you will direct the delivery of analysis services and products in collaboration with other Data Scientists and under the direction of an Engagement Manager.</p><p>
The ideal candidate is a uniquely qualified analytical problem solver with highly specialized technical skills who can develop and apply simulation-based predictive analyses to investigate intrinsic system complexity in time dependent processes including equipment aging, system-wide interactions and the dynamic effects of operations and maintenance.</p><p>
This position requires a deep knowledge of applied statistics and expert proficiency in developing new methods to solve problems, modeling and simulation of asset operations, data visualization and analysis, cost and risk evaluation, developing data requirements for mathematical models, software scripting, and operations research techniques. You must also be able to demonstrated experience in statistical analysis, data management, and statistical model design. Exceptional knowledge of software scripting, programming languages, simulation-based modeling and analysis expertise is required.</p><p>
This is an exceptional opportunity to be a part of the core team responsible for delivering world class solutions to enterprises around the world.</p><h2 class=""jobSectionHeader""><b>
Responsibilities</b></h2><ul><li>
Works autonomously under the technical direction of an Engagement Manager on client projects and internal projects.</li><li>
Applies the scientific method to evaluate multi-layered processes, assets and operations with abstract models by applying constraints, assumptions and statistical modeling to extract focused insight that supports client decision-making.</li><li>
Applies Clockwork’s simulation platforms, design of experiments, conceptual modelling, natural language processing and machine learning to creatively solve dynamic, difficult problems focused on evolving client challenges.</li><li>
Leads studies in enterprise asset management across the full lifecycle: design, engineering, construction, operations, sustainment, refurbishment, eventual retirement or replacement.</li><li>
Understand and applies client operations and analytical requirements to deliver both highly specified analyses and guided discovery for evolving analytical needs and follow-on work.</li><li>
Support client strategic and operational goals by delivering insight to reduce cost, increase readiness, quantify uncertainty, bound risk, reduce waste and add confidence.</li><li>
Deliver internal and external training as an expert in Clockwork’s simulation platforms and predictive analysis techniques.</li><li>
Evaluates simulation analysis output to reveal key insights about unstructured, chaotic, real-world systems.</li><li>
Proposes new or revised analytical methods and projects in the areas of simulation analysis and predictive modeling.</li><li>
Applies programming languages and modeling platforms to write code that represents complex systems with logic for use in high-resolution predictive simulation models.</li><li>
Apply statistical methods and simulation modeling to investigate intrinsic system complexity in time dependent processes including equipment aging, system-wide interactions and the dynamic effects of operations and maintenance.</li><li>
Deliver interim and final reports of simulation analyses to clients and Clockwork leadership.</li><li>
Approve final technical analysis results to be included in deliverables on consulting contracts.</li><li>
Develop specifications, statements of work, evaluation criteria, and proposals.</li><li>
Support the evolution Clockwork’s technical expertise, services and software including participation in product development and testing</li><li>
Propose new or revised analytical methods and projects in the areas of simulation analysis and predictive modeling.</li><li>
Support Clockwork’s Business Development efforts.</li><li>
Support Director of Consulting and Chief Scientist as required.</li><li>
Advance Clockwork’s strategic technology plan and technology application through collaboration with other Clockwork Data Scientists, Product Development Team, and Clockwork executive leadership.</li><li>
Assignments include but are not be limited to:<ul><li>
Leading data cleansing and data analysis processes</li><li>
Leading statistical analysis of historical input data and simulation output data</li><li>
Constructing simulation analysis models</li><li>
Developing software to enhance data management tools for use in predictive analysis</li><li>
Leading the Clockwork study management process</li><li>
Preparing and presenting interim and final briefings to clients</li></ul></li></ul><h2 class=""jobSectionHeader""><b>
Requirements</b></h2><ul><li>
BS/BA with 6 years of experience, MS with 4 years of experience or PhD with 2 years of experience.<ul><li>
Degree fields include Probability &amp; Statistics, Operations Research, Industrial Engineering, or closely related scientific or technical discipline.</li></ul></li><li>
Experience with statistical modeling, machine learning (classification and regression), distribution fitting, design of experiments, numerical optimization.</li><li>
Experience with SQL, database schema development and best practices, familiarity with any common database technologies (MySQL, PostgreSQL, Oracle, etc.)</li><li>
Experience with scripting or programming language (Python, R, S+, Java, etc.)</li><li>
Ability to communicate complex ideas through strong technical writing and impactful visualizations</li></ul><h2 class=""jobSectionHeader""><b>
Preferred Experience</b></h2><ul><li>
Experience in reliability engineering such as reliability analysis, development/execution of RCM program, Condition Based Maintenance (CBM)</li><li>
Experience in developing, testing and analyzing simulation models</li><li>
Experience in Agile development environment</li><li>
Familiarity with data integration and ETL concepts</li></ul><p><b>
 </b>Occasional travel required (&lt;10%)</p><div><div><div><h2 class=""jobSectionHeader""><b>
About our employment opportunities</b></h2><p>
Clockwork Solutions is an equal opportunity employer and complies with all applicable federal and state laws regarding nondiscrimination and affirmative action. We are committed to a policy of equal opportunity for all persons and do not discriminate on the basis of race, color, national origin, age, marital status, sexual orientation, gender identity, disability, religion, or veteran status.</p></div></div></div></div></span>",5 reviews,"Austin, TX 78746"
GIS Analyst and Research Associate,Banks Environmental Data,"<span id=""job_summary"" class=""summary""><p>Banks Environmental Data, Inc. is a research firm located in Austin, Texas with a 30-year history of providing data to the environmental industry. We are currently seeking candidates to fill a full time research analyst position.</p><p><b>Responsibilities: </b></p><p>The Full time research analyst processes environmental data reports using GIS software and tools, and provides support for staff and clients. Responsibilities include; historical research, georeferencing images, data entry/geocoding, QA/QC large spatial database, and assisting full time staff with general division duties. This position requires a commitment of 40 hours per week, M-F. Full time staff are eligible for 401K and benefits.</p><p><b>Qualifications: </b></p><p>Banks hires resourceful critical thinkers who work diligently on their own as well as in collaboration with a team. Workloads can be heavy with tight deadlines. Ideal candidates have a sharp eye for quality and demonstrate a willingness to complete projects with precision and enthusiasm.</p><p>Ideal candidates enjoy research projects and possess the following skills:</p><ul><li>Experience with ESRI software (Arc Desktop, ArcPro)</li><li>Acute attention to detail</li><li>A sharp eye for quality control</li><li>A can-do attitude</li><li>Organization skills</li><li>Great phone/people skills</li></ul><p>Job Type: Full-time</p><p>Salary: $15.00 to $18.00 /hour</p><p>Education:</p><ul><li>Bachelor's</li></ul><p>Location:</p><ul><li>Austin, TX 78701</li></ul><p>Required work authorization:</p><ul><li>United States</li></ul></span>",,"Austin, TX 78701"
"Sr Software Engineer, Applied Machine Learning",Apple,"<span id=""job_summary"" class=""summary""><div><div><div><div><p>Imagine what you could do here. At Apple, new ideas have a way of becoming outstanding products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.
Apple’s Applied Machine Learning team has built systems for a number of large-scale data science applications. We work on many high-impact projects that serve various Apple lines of business. We use the latest in open source technology and as committers on some of these projects, we are opening up the boundaries. Working with different teams, we lead many streams of Apple-scale data. We bring it all together and extract the value. We do all this with an excellent group of software engineers, data scientists, dev-ops engineers and managers.
</p><div><h3 class=""jobSectionHeader""><b>Key Qualifications</b></h3><ul><li>
Experience in distributed systems, design and implementation of high throughput, low latency applications.</li><li>
Strong Object Oriented Programming skills and proficiency in languages like Java/C++.</li><li>
Solid understanding in NoSQL technologies like Cassandra.</li><li>
Solid understanding and working knowledge on Hadoop.</li><li>
Deep understanding of TCP, websockets, and libraries like Netty.</li><li>
Solid CS background, concurrent programming, and data structures.</li><li>
Excellent problem solving skills, critical thinking, and communication skills.</li><li>
The position requires a solid knowledge of secure coding practices and experience with open source technologies.</li><li>
Strong ability to learn new technologies in a short time.</li><li>
Understanding of JVM internals and garbage collection.</li></ul></div><h3 class=""jobSectionHeader""><b>
Description</b></h3><p>
As a Senior Software Engineer, to help build innovative software applications. You should have development and implementation experience on large scale critical applications. The main responsibilities for this position include: Architecting innovative solutions while playing a hands-on development role to deliver products in a rapid and dynamic environment. You will be involved in challenging and dynamic projects supporting Apple's business by delivering innovative solutions to given challenges. Develop tools to monitor system health, performance, and reliability.
</p><h3 class=""jobSectionHeader""><b>
Education</b></h3><p>
BS degree in computer science or equivalent field with 5+ years of professional experience, or equivalent
Apple is an Equal Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants.</p></div></div></div></div></span>","5,786 reviews","Austin, TX"
ML Engineer,Cognitive Scale,"<span id=""job_summary"" class=""summary"">We live in a moment of remarkable change and opportunity that is cognitive computing. The convergence of data and technology is transforming industries, society and the workplace. CognitiveScale is looking for talent to drive market success by building cognitive business solutions.
<br><br>
Our team integrates ML and NLP expertise with enterprise software to deliver innovative ML/AI solutions. This position is specifically for candidates with ML and data mining expertise who can engage with customers and potential customers and help translate their business problems into a set of data science/ NLP procedures, estimate what data, skills and effort levels would be required for such engagements, and then develop a solution in conjunction with our in-house Data Scientist experts and software engineers using appropriate algorithms and tools.
<br><br>
Job Responsibilities
<br><br>
<ul>
<li>Analyze complex data from various sources to build next-generation ML systems</li>
<li>Assist the engineering and operations organizations in integrating and deploying your solutions</li>
<li>Estimate the effort involved and skills needed from a machine learning perspective for a specific customer engagement</li>
<li>Able to learn industry processes and incorporating them in the solution</li>
<li>Maintain high standard of quality and adhere to best coding practices.</li>
<li>Coordinate and work collaboratively with remote teams to ensure smooth delivery</li>
<li>Be responsible for measuring and optimizing the quality of your algorithms</li>
<li>Candidates must have customer facing experience or aspirations</li>
<li>Ability to travel</li>
</ul>
Job Specifications (some items below are “nice to have” rather than must-have.)
<br><br>
<ul>
<li>Experience with Data Science centered Projects</li>
<li>MS degree in Computer Science/Engineering, related quantitative field with 2 years of relevant experience or a Bachelor’s degree in these fields with 4+ years of experience.</li>
<li>Experience with languages such as Python, C++ and shell scripts</li>
<li>Strong interest in, and knowledge of Artificial Intelligence and its subfields</li>
<li>Experience with open-source ML/math toolkits such as scikit-learn, PyTorch,Tensorflow, etc.</li>
<li>Ability to collaborate with the R&amp;D team to develop new algorithms that are not available in popular toolkits.</li>
<li>Experience with knowledge graphs, optimization, decision theory or signal processing is a plus.</li>
</ul>
Soft Skills
<br><br>
<ul>
<li>Strong verbal and written communication; position will involve some engagement with customers as well as internal algorithmic sciences team</li>
<li>Strong organizational, multi-tasking and time management skills</li>
<li>High-energy, detail-oriented, and proactive with the ability to function under pressure in an independent environment</li>
<li>Strong ability to collaborate with a global development team</li>
<li>Experience working with international customers</li>
<li>Strong understanding of business processes or ability to quickly learn</li>
</ul>
CognitiveScale is an Equal Opportunity Employer. CognitiveScale does not discriminate against any applicant for employment because of age, gender, sexual orientation, race, religion, national origin, ethnicity, veteran status, or disability.
<br><br>
<b>Search Firm Representatives Please Read Carefully:</b><br>
CognitiveScale is not accepting unsolicited assistance from search firms for this employment opportunity. Please: no phone calls or emails. All resumes submitted by search firms to any employee at CognitiveScale via email, the Internet or in any form and/or method without a valid written search agreement in place for this position will be deemed the sole property of CognitiveScale. No fee will be paid in the event the candidate is hired by CognitiveScale as a result of the referral or through other means.</span>",,"Austin, TX"
Product Owner,Valassis Digital,"<span id=""job_summary"" class=""summary""><div><div>Valassis Digital is seeking a Product Owner to work with our engineering and data science teams. You’ll be responsible for defining and executing the product roadmap. This includes defining requirements, writing user stories, prioritizing initiatives, and driving scalability and other investments for our core systems.</div>
 <div>You will be focused on working with an advanced, highly quantitative development team to make features come to life for our products.</div>
 <div>The ideal candidate is someone with strong technical skills and knowledge combined with the ability to clearly communicate technical concepts, but with enough business acumen to prioritize initiatives and work with senior management on tradeoffs.</div>
<div>In this position, you will…</div>
<ul><li>Work with data scientists and developers on a technical roadmap that includes systems infrastructure, scalability and new technology introduction.</li>
<li>Engage with development leaders to articulate requirements, project plans and drive timely execution towards launch.</li>
<li>Bridge the gap between our technical needs and the requirements of our users including providing detailed product requirements for implementation of changes to our systems.</li>
<li>Focus on scalability needs and ensuring our systems can handle our volumes in a timely manner.</li>
<li>Deliver products with our technical teams, always keeping in mind the complexities of highly scalable engineering endeavors.</li>
<li>Define, track, and improve key product metrics to implement a product dashboard to track usage and success.</li>
</ul><div>Our ideal candidate will have…</div>
<ul><li>Bachelor’s degree or higher (Masters preferred) – preferably in relevant technical fields such as Computer Science, Analytics, etc.</li>
<li>2+ years of experience as a product owner in an Agile software development environment, preferably working in a fast-paced, entrepreneurial environment</li>
<li>Prior experience collaborating closely with technical executives to build new products</li>
<li>Expertise communicating progress at each phase of development as appropriate, including published roadmaps, requirements and other information</li>
<li>Knowledge of marketing technology or digital advertising is a plus</li>
<li>High degree of both technical expertise and business acumen, including familiarity developing new software and implications of SaaS business models</li>
<li>Strong results-orientation combined with excellent judgment and problem-solving skills; track record of product success</li>
</ul>
<br>
<div><b>WHO WE ARE</b></div>
<div>Valassis Digital is a leading digital marketing intelligence company, providing a best-in-class data management platform and online and offline targeting capabilities that fuels superior display advertising and expanded media offerings, such as in-store campaign solutions, for advertising clients. Through proprietary technology, Valassis Digital creates meaningful marketing and advertising impact for businesses – from planning, delivery, and attribution. Valassis Digital taps into meaningful, actionable insights that drive better campaign performance.</div>
<br>
<div><b>WHAT'S IN IT FOR YOU?</b></div>
<div>Valassis Digital offers a generous total rewards benefits package that includes medical, dental and vision coverage, 401k matching, long-term cash incentives program, and PTO allowance. A wide variety of additional benefits like life insurance, employee assistance and pet insurance are also available!</div>
<br>
<div>Valassis Digital considers applicants for all positions without regard to race, color, creed, religion, national origin or ancestry, sex, age, disability, genetic information, veteran status, or any other legally protected status. In addition, Valassis Digital will provide reasonable accommodations for qualified individuals with disabilities. If you need assistance with completing the online application process, please contact DL_Recruiting@MaxPoint.com.</div>
<div>BIZ123<br>
MXGD<br>
#LI-CB1</div></div></span>",,"Austin, TX 78759"
"Senior Operations Analyst, Omni",Spectrum Brands,"<span id=""job_summary"" class=""summary""><div><div><p>Spectrum Brands – Pet, Home &amp; Garden, based in St. Louis, Missouri, is a leading supplier of well-recognized consumer products globally for the pet supply markets, and nationally for the home, lawn and garden insect and weed control markets. The company delivers innovative products of outstanding quality for the pet owners of dogs, cats, birds, small animals, fish and reptiles. The company also delivers groundbreaking products of exceptional value and top-notch quality, so consumers benefit from insect and weed control solutions. The Home &amp; Garden brands — Spectracide®, Garden Safe®, Hot Shot®, Cutter®, Repel®, Black Flag® and Liquid Fence® — and the Pet Brands — Tetra®, Instant Ocean®, Marineland®, 8-in-1®, Dingo®, FURminator®, Nature’s Miracle®, GloFish®, DreamBone® and SmartBones® — are well-recognized by consumers for delivering exceptional value and trusted results.</p><br>
<p>Job Summary</p>
<br>
<p>A bright, organized, analytical, and detail oriented individual will be placed on the ecommerce PHG team to directly engage with multiple retailers and internal teams to improve consumer experience. The Key Account Manager must apply a wide range of KSAs to work across key areas such as sales, marketing, product development, data scientists, supply chain, search specialists, and finance to drive the performance of our product lines, both online and offline.</p><br>
<p>Primary Duties &amp; Responsibilities</p>
<br>
Tactical (40%)
<ul><li>Build and maintain the Omni-channel foundation:
<ul><li>Implement the six ecommerce pillars across key accounts, including Amazon, Walmart Inc., Chewy.com, Petco, PetSmart, Lowes, and Home Depot, to drive foundational excellence across B&amp;M and ecommerce.</li>
</ul></li><li>Aggregate and analyze the Omni-channel inputs:
<ul><li>Analyze the strategic metrics, including return on investment, SEO optimization, site merchandising effectiveness, marketing efficiency, social engagement, and customer consideration to grow revenue and profitability through increased traffic, conversion, and brand awareness.</li>
</ul></li><li>Communicate the ecommerce results:
<ul><li>Provide weekly, monthly, quarterly and annual updates across all key retailers; this includes tracking for sales, profitability, and the six ecommerce pillars.</li>
</ul></li><li>Maintain the day to day ecommerce operations and tactics:
<ul><li>Interact with key retailers to address input exceptions, Andon Cords, strategic opportunities, compliance, ordering and promotions</li>
</ul></li></ul><p>Strategic (40%)</p>
<ul>
<li>Lead semi-annual benchmarking activities
<ul><li>Develop benchmarking measurements, participants, and reporting to ensure that Spectrum Brands is a Tier 1 vendor across both our key retailers and with our consumers.</li>
<li>Create promotional plan, analyze return on investment to direct future strategy</li>
</ul></li><li>Develop pilots and Test and Learns
<ul><li>Identify gaps in our current plans and develop `pilots and test and learns to close the gaps.</li>
<li>Responsible for establishing and cultivation of emerging trends and customers.</li>
<li>Analyze and execute direct fulfillment opportunities for excess &amp; overstock inventory</li>
</ul></li><li>Influence Ecommerce Strategy
<ul><li>This role will recommend enhancements to existing plans as well as develop nascent strategies to grow market segment share.</li>
<li>Drive success around Amazon.com performance metrics inclusive of understanding and improving Lost Buy Box (LBB) measurements, minimizing Out of Stock (OOS) occurrences, monitoring and improving on-time and lead time metrics and Vendor Lead Time (VLT)</li>
</ul></li></ul><p>Support (20%)</p>
<ul>
<li>Assist in product development
<ul><li>Work across our teams to influence the product and feature roadmap for R&amp;D.</li>
</ul></li><li>Assist in developing consumer insights
<ul><li>Integrate with our brand/marketing team to aggregate consumer and retailer insights to develop new insights into shopping behavior.</li>
</ul></li></ul><br>
<p>Education and Experience Profile</p>
<br>
<p>An equivalent combination of:</p>
<ul>
<li>BS/BA degree.</li>
<li>1-2 years of experience.</li>
<li>Relevant classroom experience in ecommerce, brand management, financial analysis, retail buying and/or planning, product/project management, or marketing.</li></ul>
<br>
<p><b>Preferred Education and Experience Profile</b></p>
<ul>
<li>BS degree in Finance, Economics, or equivalent.</li>
<li>3-5 years’ experience in one of several fields: ecommerce vendor management, ecommerce consulting, business analyst, engineering, or Assistant Brand Manager role at leading consumer packaged goods company.</li>
<li>The ability to quickly learn a varied set of tools (including content health scoring, keyword optimization, and 3rd party/retailer platforms) is necessary and prior experience with ARA, seller central, and retail link is a plus. Relevant classroom experience in ecommerce, brand management, financial analysis, retail buying and/or planning, product/project management, or marketing.</li>
<li>Prior experience with regression analysis, senior level presentation, results organization, and account/vendor management is preferred</li>
<li>Results driven individual with an entrepreneurial spirit</li>
</ul><br>
<p>Required Skills</p>
<br>
<ul><li>Superior written and oral communication skills.</li>
<li>High level of organizational skills.</li>
<li>Data-driven strategies.</li>
<li>Consumer-centric vision.</li>
<li>Strong presentation skills.</li>
<li>Adaptive approach.</li>
<li>Detail oriented.</li>
<li>Innovative thought leadership.</li>
<li>Teamwork approach to accomplishing goals</li>
<li>Travel required
</li></ul><br>
<p>Work Environment</p>
<br>
<p><b>Work Environment:</b></p>
<p>
Working conditions are normal for a flex-office environment.</p>
<p>
The above information on this description has been designed to indicate the general nature and level of work performed by employees within this job/classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.</p>
<p>
Spectrum Brands is an Equal Employment Opportunity/Affirmative Action employer.</p></div></div></span>",228 reviews,"Austin, TX"
