position,company,description,numreview,location
Senior Data Analyst,NORC at the University of Chicago,"<span id=""job_summary"" class=""summary""><div><div><div><div><div><div><p>NORC at the University of Chicago is seeking a Senior Data Analyst to support a diverse range of research projects. At NORC, Data Analysts work with our Data Scientists, and play a strategic role in supporting our research teams to produce valuable insights for our clients. They work collaboratively and help break down silos and barriers across the company to help drive innovative work. A person in this position, under the leadership of Data Scientists, contributes to the design and implementation of algorithms, models, and work flows to discover valuable information in large volumes of data from various sources; organizes, harmonizes, and analyzes data sets; uses various technologies to enable data visualization; and creates applications of general value to the company’s business.</p>
</div>
</div><br>
<div><div><b>DEPARTMENT: CENTER FOR EXCELLENCE IN SURVEY RESEARCH</b></div>
<div><p>The Center for Excellence in Survey Research (CESR) assists NORC in remaining a leader in methodological innovations in survey research.</p>
<p>
CESR helps identify and share best practices—both internally and externally—across the continuum of research design and implementation at NORC. To accomplish its mission, the Center conducts timely, state-of-the-art statistical and methodological research on sample and survey design and estimation methods, as well as the analysis of data from surveys and information collection activities. The CESR staff partner with colleagues and work on projects housed in every research department at NORC to encourage including the most innovative and industry best practices in our methodologies. External clients benefit from CESR’s team members’ expertise across a range of topics by working directly with CESR or through a multidisciplinary collaboration with NORC’s research departments.</p>
</div>
</div><br>
<div><div><b>RESPONSIBILITIES:</b></div>
<div><ul><li>Interpreting data from multiple sources;</li>
<li>Developing programs and scripts for data transformation, integration, or reduction;</li>
<li>Enhancing previously developed in-house applications such as those for data coding;</li>
<li>And performing various types of analysis involving multiple data sets.</li>
</ul></div></div><br>
<div><div><b>REQUIRED SKILLS:</b></div>
<div><ul><li>The successful candidate should have at least a Bachelor’s degree in one of the following fields: math, statistics, computer science, data science, or a social science or public policy related field.</li>
<li>He/she should have a strong foundation in areas of statistics, mathematics, and computer programming.</li>
<li>Preference will be given to those with additional expertise in areas of data mining such as topic modeling, natural language processing, and machine learning. Strong skills in problem solving and quantitative/qualitative analysis are required.</li>
<li>The candidate should be able to organize and prioritize work assignments to meet project needs.</li>
<li>At least two years’ experience in positions of increasing responsibility, preferably working with large data sets and conducting statistical and quantitative modeling, melding analytics with programming, data mining, clustering and segmentation is required.</li>
<li>Some familiarity with the social science domain is also preferred.</li>
<li>The qualified candidate should have strong communication skills; able to quickly comprehend requirements and assignments and then explain his/her solutions in both writing and speech.</li></ul></div></div></div></div></div></div></span>",370 reviews,"Chicago, IL"
Developer / Quantitative Analyst (Entry Level) - Chicago,DV Trading LLC,"<span id=""job_summary"" class=""summary""><div><p>DV Trading, LLC is a global proprietary trading firm with over 225 traders and personnel that specializes in trading commodity futures, as well as equities and other financial instruments.
</p><p>The candidate and traders will work side-by-side to increase the efficiency of our operations and help the firm identify new talent. Successful candidates will be detail orientated, organized, with excellent communication skills and display a high aptitude for problem solving. Candidates must have strong quantitative and analytical skills.</p><p>
Details of the duties</p><ul>
<li>Quantitative analysis of trading positions</li>
<li>Develop trading algorithms</li>
<li>Troubleshoot trading applications</li>
<li>Maintain spreadsheets and perform analytics on trading PnL</li>
</ul><p><b>Requirements</b></p><p>
Demonstrated ability and desire to:</p>
<ul><li>work well under pressure
</li><li>learn and apply new skills quickly (e.g. new technology and coding languages)</li>
<li>multi-task, prioritize and adapt with changing conditions</li>
</ul><p>Preferred but not necessarily required</p><ul><li>
Experience coding in VBA, R, C++, Java, C#, Python</li></ul><p>
Resume Requirements</p><ul>
<li>In exactly four words, at the top of your resume, above your name, please describe one notable accomplishment.
</li><li>Resumes must be font size 14 or larger</li>
<li>Resumes longer than one page will not be accepted</li>
</ul><p><b>Benefits</b></p><ul>
<li>Blue Cross Blue Shield Medical PPO</li>
<li>Health Savings Account</li>
<li>Guardian Dental</li>
<li>VSP Vision Coverage</li>
<li>Flex Spending Account</li>
<li>401k with firm match</li>
<li>Employer paid life insurance</li>
<li>Optional Short, Long Term Disability, and AD&amp;D Insurance</li>
<li>Pre-Tax Parking and Transit</li>
<li>Open Scheduling Policy</li>
<li>Casual and productivity based environment</li></ul></div></span>",6 reviews,"Chicago, IL 60642"
Computational Scientist,The University of Chicago,"<span id=""job_summary"" class=""summary""><div><h2 class=""jobSectionHeader""><b>Job Information
</b></h2><p><b>Job Summary:
</b></p><br>
<p>The Mansueto Institute for Urban Innovation and the Research Computing Center (RCC) are seeking a highly motivated Urban Data Specialist to work closely with faculty and researchers at The University of Chicago. The person in this position will serve as a technical domain expert, supporting and advising faculty and students from a range of disciplines on obtaining, managing and using data and analysis tools for research, development and grant proposals. The successful candidate will be dedicated to supporting the Mansueto Institute, providing expertise to a range of partners within the University, and will also work closely with peers at the RCC, computational scientists playing a key role in enabling leading computational research across the University.
</p><br>
<p><b>Responsibilities:
</b></p><ul><li>Support faculty and researchers with large and small-scale management and analysis of urban data, which will include but is not exclusive to data at a range of different scales, from cities, public agencies, and the private sector.
</li><li>Work with local, national, and international data repositories and historical datasets to support or advance research.
</li><li>Design tutorials, hands-on workshops, and documentation for researchers and students with the help and coordination of other RCC staff; Attend and contribute to weekly Mansueto Institute and RCC team meetings and talks, as appropriate.
</li><li>Keep abreast of new developments in urban data, particularly in remote sensing, aerial, and mapping data, and be pro-active in introducing them to the faculty.
</li><li>Help faculty with grant proposals by contributing sections describing the interplay between research objectives and new or expanded data resources and advanced and innovative computing approaches.
</li><li>Work with Mansueto Institute staff and faculty on the acquisition and curation of new urban data sets, including assisting with the creation of new data sharing agreements;Dedicate a portion of time to professional development.
</li><li>Other duties as assigned.
</li></ul><br>
<p><b>Competencies:
</b></p><ul><li>Excellent interpersonal, verbal, written, and presentation skills.
</li><li>Ability to understand and translate researchers’ scientific goals into computational requirements.
</li><li>Ability to work well with faculty and researchers.
</li><li>Ability to identify and gain expertise in appropriate new technologies and/or software tools.
</li><li>Ability to function as part of an interactive team while demonstrating self-initiative to achieve project’s goals and Research Computing Center and Mansueto's missions.
</li><li>Strong analytical skills and problem solving ability.
</li></ul><br>
<br>
<h2 class=""jobSectionHeader""><b>Additional Requirements
</b></h2><p><b>Education and Experience:
</b></p><ul><li>Master’s degree in Geography, Urban Planning, Engineering, Computer Science or a related field required
</li><li>Minimum of two years of relevant related technical work experience required
</li><li>Project management experience
</li></ul><br>
<p><b>Technical Knowledge or Skills:
</b></p><ul><li>Computing and analysis experience with geo-referenced data using standard industry software, Python and/or R required
</li><li>Fluency in data organization, manipulation and analysis required
</li><li>Experience in a UNIX-based programing environment required
</li><li>A passion for knowing the upcoming state of the art in urban and geospatial data, and associated analysis and visualization tools required
</li><li>Experience in one or more programing languages (such as Java, C, C++, etc.) preferred
</li></ul><ul><li>Experience with remote sensing data and GIS mapping and animation preferred
</li><li>Proficiency in one or more scripting languages (such as Python, JavaScript, Perl, Bash, etc.) preferred
</li><li>Experience in database development (MySQL, PostgreSQL) and advanced data management is desirable
</li><li>Experience with algorithms that make sense of multispectral data preferred
</li><li>Experience with machine learning and statistical analysis applied to GIS data preferred
</li><li>Experience with data storage and high performance / cloud computing preferred
</li><li>Experience with data sharing agreements preferred
</li></ul><br>
<p><b>Required Documents:
</b></p><ul><li>Cover letter required
</li><li>Resume required
</li></ul><p><b>NOTE: </b>When applying, all required documents <b>MUST </b>be uploaded under the <b>Resume/CV </b>section of the application
</p><br>
<br>
<h2 class=""jobSectionHeader""><b>Benefit Eligibility
</b></h2>Yes
<br>
<br>
<h2 class=""jobSectionHeader""><b>Pay Frequency
</b></h2>Monthly
<br>
<br>
<h2 class=""jobSectionHeader""><b>Pay Range
</b></h2>Depends on Qualification
<br>
<br>
<h2 class=""jobSectionHeader""><b>Scheduled Weekly Hours
</b></h2>37.5
<br>
<br>
<h2 class=""jobSectionHeader""><b>Union
</b></h2>Non-Union
<br>
<br>
<h2 class=""jobSectionHeader""><b>Job is Exempt?
</b></h2>Yes
<br>
<br>
<h2 class=""jobSectionHeader""><b>Drug Test Required?
</b></h2>No
<br>
<br>
<h2 class=""jobSectionHeader""><b>Does this position require incumbent to operate a vehicle on the job?
</b></h2>No
<br>
<br>
<h2 class=""jobSectionHeader""><b>Health Screen Required?
</b></h2>No
<br>
<br>
<h2 class=""jobSectionHeader""><b>Posting Date
</b></h2>2018-05-18-07:00
<br>
<br>
<h2 class=""jobSectionHeader""><b>Remove from Posting On or Before
</b></h2>2018-11-18-08:00</div></span>",368 reviews,"Chicago, IL"
Junior Quantitative Researcher - Machine Learning,Akuna Capital,"<span id=""job_summary"" class=""summary""><b>About Akuna:</b><br>
Akuna Capital is a young and booming trading firm with a strong focus on cutting-edge technology, data driven decisions and automation. Our core competency is providing liquidity as an options market-maker – meaning we provide competitive quotes that we are willing to both buy and sell. To do this successfully we design and implement our own low latency technologies, trading strategies and mathematical models.
<br><br>
Our Founding Partners, Andrew Killion and Mitchell Skinner, first conceptualized Akuna in their hometown of Sydney. They opened the firm’s first office in 2011 in the heart of the derivatives industry and the options capital of the world – Chicago. Today, Akuna is proud to operate from additional offices in Sydney, Shanghai, and Boston.
<br><br>
<b>What you’ll do as a Junior Quantitative Researcher at Akuna:</b><br>
Akuna’s Quantitative Trading and Research team is looking to add Junior Quant Researchers to a team of mathematicians, statisticians and technologists. This team creates trading strategies scientifically by combining its quantitative expertise with sophisticated understanding of derivatives and financial markets.
<br><br>
We are looking for talented researchers who can apply and develop machine learning algorithms to contribute to Akuna’s strategy portfolio. In this role you will:
<br><br>
<ul>
<li>Develop trading strategies using statistical and machine learning algorithms</li>
<li>Design and implement optimization algorithms for portfolio construction</li>
<li>Develop quantitative models describing market behavior</li>
<li>Advance existing initiatives and explore opportunities for new research topics</li>
</ul>
<b>Qualities that make great candidates:</b><br>
<ul>
<li>Masters or PhD in a technical field – Engineering, Statistics, Computer Science, Mathematics, Physics (or a related subject) must be completed upon employment</li>
<li>Expertise in statistics and machine learning</li>
<li>Experience building mathematical models for complex real-world problems</li>
<li>Intermediate programming skills in Python (C++ is a plus)</li>
<li>Financial experience is not a requirement</li>
</ul>
</span>",6 reviews,"Chicago, IL 60603"
"Data Scientist / Quantitative Researcher, Systematic Trading",DRW,"<span id=""job_summary"" class=""summary"">DRW is a technology-driven, diversified principal trading firm. We trade our own capital at our own risk, across a broad range of asset classes, instruments and strategies, in financial markets around the world. As the markets have evolved over the past 25 years, so has DRW – maximizing opportunities to include real estate, cryptoassets and venture capital. With nearly 900 employees at our Chicago headquarters and six global offices, we work together to solve complex problems, challenge consensus and deliver meaningful results. It’s a place of high expectations, deep curiosity and thoughtful collaboration.
<br><br>
<b>The Team:</b><br>
You will join a quantitative trading team managing systematic equity strategies. The team focuses on non-latency sensitive investment opportunities across geographies. The team is responsible for the complete lifecycle of quantitative investment process; research, development, and trading of systematic strategies. The team strongly emphasizes cutting-edge innovative scientific research, and is looking to add an individual who is enthusiastic about contributing within a team environment.
<br><br>
<b>Responsibilities:</b><br>
The main responsibility of the role will be to research, design and implement new quantitative trading strategies. This will entail generating alphas from a variety of traditional and alternative datasets using rigorous statistical methods. To be successful in this role, the ideal candidate will need to build a deep understanding of the underlying datasets and be able to apply the latest scientific algorithms for statistical model development. The candidate will use the team’s custom research infrastructure for simulation, back-testing, and validation of the proposed models.
<br><br>
<b>Qualifications:</b><br>
<ul>
<li>The ideal candidate will be excited about working in a collaborative team environment, with an emphasis on team performance. We also require the following:</li>
<li>MS/PhD in a technical discipline with a focus on Statistics, Optimization, Machine Learning, Artificial Intelligence, Quantitative Finance or related fields</li>
<li>Exposure to High-Performance Computing and/or Natural Language Processing is a plus</li>
<li>Publications in top-tier Journals focusing on any of the above topics is a plus</li>
<li>Strong programming skills with the ability to explore large datasets required</li>
<li>Excellent written and verbal communication skills to report research results/methodologies required</li>
</ul>
<b>Preferred:</b><br>
<ul>
<li>The preferred candidate should have at least 2-3 years of working experience within a quantitative trading/research role</li>
<li>Experience with quantitative investment research in Medium Frequency Trading and/or Equity Markets is required</li>
</ul>
</span>",,"Chicago, IL"
Data Scientist,RCG Holdings LLC,"<span id=""job_summary"" class=""summary""><b>Description:</b><br>
RCG is a clearing member of the Chicago Mercantile Exchange, ICE Futures US and Fixed Income Clearing Corporation that specializes in execution and clearing services of futures and options for its customers and affiliates. We are located in downtown Chicago and are a recognized innovator in trading technology that delivers cutting edge solutions to a global client base.
<br><br>
The Data Scientist role will be responsible for process automation and business intelligence analysis within the financial information system. This individual will be able to think on their feet in a fast paced environment and have intuitive troubleshooting skills. A professional demeanor and excellent communication abilities are essential. The individual will both participate and lead projects within the department with minimal supervision.
<br>We expect the individual to be proactive, highly motivated and able to provide creative solutions for business processes and analytics.
<br><br>
Responsibilities
<br><ul>
<li>Process automation.</li>
<li>Provide business intelligence.</li>
<li>Analyze and understand business processes.</li>
<li>Data management.</li>
<li>Design and maintain financial information systems.</li>
<li>Collection, storage, retrieval and utilization of data.</li>
<li>Implement processes that improve and lead to greater data quality.</li>
<li>Creative problem solver who thrives when presented with a challenge.</li>
<li>Able to analyze problems and strategize for better solutions. .</li>
</ul>
<b>Requirements:</b><br>
<ul>
<li>Strong programming skills in R, Python and any one of the major object-oriented programming language (Java, Scala, C++, C#).</li>
<li>3+ years’ of business, statistical or technical experience.</li>
<li>Familiarity with relational databases and SQL is a plus.</li>
<li>MS in Applied Statistics, Statistics, Computer Science, or advanced Math or Engineering strongly preferred.</li>
<li>A self-motivated personality with a passion for solving complex problems.</li>
<li>Analytical and problem-solving abilities, with keen attention to detail.</li>
<li>Effective written and oral communication skills, with the ability to present ideas in user-friendly language.</li>
</ul>
</span>",,"Chicago, IL 60606"
Research Analyst,JLL,"<span id=""job_summary"" class=""summary""><div><ul><li>Review and enrich company, contact, property, and opportunity records in Salesforce on a recurring basis using a combination of external data sources and collecting feedback from the local JLL offices
</li><li>Provide overall support of the Salesforce working with Information Technology to resolve issues promptly
</li><li>Effectively coordinate, communicate and assist in user training and overall communications to CMG teams nationally
</li><li>Assist in on-boarding process of new CMG teams into the Salesforce including data migration, implementation, and training
</li><li>Provide overall support to CMG platform on field requests for market or client-related research and analysis working with other JLL groups and external resources as needed
</li><li>Assist in planning and logistics of JLL business meetings/conferences
</li><li>Coordinate with JLL internal groups including Finance, IT, and Marketing as well as other services lines including Leasing and Management on ad hoc projects
</li></ul><br>
<br>
<br>
<br>
<br>
<p><b><i>JLL Is an Equal Opportunity Employer
</i></b><br>
<br>
<i>JLL is committed to developing and maintaining a diverse workforce. JLL strongly believes in equal opportunity extended to all individuals in all aspects of the employment relationship, including recruitment, hiring, training, promotion, transfer, discipline, layoff, recall and termination without regard to race, color, religion, belief, creed, age, sex, pregnancy or maternity (including childbirth and related conditions), family responsibility (e.g. child care, elder care), nationality, ethnic or national origin or ancestry, citizenship, marital status, civil partner status, sexual orientation, gender identity or expression, transgender status, veteran’s status, genetic information, trade union membership, social position, political view or status as a qualified individual with a disability, protected leave status or any other protected characteristic in accordance with applicable law. The company also endeavors to make reasonable accommodations for known physical or mental limitations of otherwise qualified employees and applicants with disabilities unless the accommodations would impose an undue hardship on the operation of our business and ensures that employment decisions are based only on valid job requirements.
</i><br>
<br>
<i>For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy at </i><i>https://jll2.sharepoint.com/CorporatePolicies/HR%20Policies/Equal%20Employment%20Opportunity%20and%20Affirmative%20Action.pdf </i><i>.</i></p></div></span>","1,786 reviews","Chicago, IL"
Arity Data Scientist Senior Manager,Allstate,"<span id=""job_summary"" class=""summary""><div><p><b>Where good people build rewarding careers.</b></p>
<p>Think that working in the insurance field can’t be exciting, rewarding and challenging? Think again. You’ll help us reinvent protection and retirement to improve customers’ lives. We’ll help you make an impact with our training and mentoring offerings. Here, you’ll have the opportunity to expand and apply your skills in ways you never thought possible. And you’ll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.</p>
<div><br>
<p>Job Description</p><br>
<p>
Data science incorporates techniques across many disciplines – including mathematics/statistics, computer programming, data engineering and ETL, software development, and high performance computing – with traditional business expertise with the goal of extracting meaning from data to optimize future business decisions. Individuals in this field should be fluent in several of these disciplines and sufficiently proficient in others to effectively design, build, and deliver end to end analytics products. Arity Data Science and Analytics is responsible for aligning with and contributing to company-wide objectives by identifying new product opportunities and enhancing current capabilities.</p>
<div><div><div><div><p><b>Job Summary
</b></p></div></div><br>
</div></div><p>Arity Data Scientists are responsible for working as members of a product team to build predictive models and develop new machine learning techniques that enable Arity, and its partners, to make better decisions to achieve its goals. This is a highly dynamic position that requires a high degree of flexibility, intellectual curiosity, and the ability to rapidly adapt to changing business needs, new technologies, and modeling/machine learning techniques.</p>
<p>This role is responsible for leading work that uses data to make decisions. This includes: conceptualizing business problems, searching for and integrating new data (both internal and external), exploring/cleaning the data, building machine learning/ predictive modeling algorithms, coding of tools that use models, realizing the value of our solutions by implementing in production and incorporating feedback to improve implemented products.</p>
<p>This role is responsible for the development of the data analytics strategy of Arity. The role is accountable for development of teams that maintain the tools developed by the Data Scientists. The role determines the optimal portfolio of projects to execute based on Arity product objectives and leads a team of data scientists to successfully execute and implement those projects. The role is responsible leading recruitment, selection, mentorship and development of data scientists.</p>
<br>
<br>
<br>
<p>Key Responsibilities</p><br>
<p>
Develops and builds alignment around machine learning/predictive modeling, optimization strategies</p>
<ul><li>Builds &amp; evolves vision and strategy of using machine learning/predictive modeling, optimization and data</li>
<li>Builds alignment for vision and strategy of using machine learning/predictive modeling, optimization and data with Product Management, Analytics and other business partners, fostering relationships and engaging resources across departments</li>
<li>Leads efforts for continuous improvements with data, tools, methodology and processes</li>
<li>Advances machine learning/predictive modeling, optimization development within the department</li>
<li>Serves as subject matter expert and consultant on product related issues inside and outside the department
<br>
<p>Develops, leads, and continually optimizes portfolio of projects to execute on product strategies</p>
</li><li>Translates vision and strategies into roadmaps and projects</li>
<li>Leads multiple, complex analytical and modeling projects with many team members</li>
<li>Ensures projects are managed according to overall plan managing scope, mitigating risks and solving for project risks.</li>
<li>Effectively understands the business problems, requirements, and context in communicating findings to ensure models are well understood and incorporated into business processes</li>
<li>Determines optimal program organization and delivery approach, assists in managing budget, coordinating resources and oversees development of integrated project plans
<br>
<p>Engages cross-functional leadership to influence Arity business</p>
</li></ul><ul><li>Presents business cases with senior leadership and influences cross-functionally to take, implement and deliver on recommended actions</li>
</ul><ul><li>Achieves results on initiatives that contribute to growth and profit goals</li>
<li>Encourages risk taking and innovation</li>
<li>Applies efforts to diverse and complex situations to determine solutions, alternatives or guidance</li>
<li>Represents Arity on panels, in outside venues or forums</li>
<li>Serves as a subject matter expert for machine learning/predictive modeling, and optimization and consults on complex issues with regulators, legal counsel, etc.</li>
<li>Partner with outside business units in order to improve the effectiveness of business decisions</li></ul>
<br>
<p>Leads managers and builds and develops team dedicated to executing product strategies</p>
<ul><li>Leads managers who are responsible for work that needs to be performed and/or their direct reports</li>
<li>Directs, supports and executes talent management developing bench strength for data science and analytics team</li>
<li>Identifies skill gaps and devises training plans with managers to develop new talent in focus area</li>
<li>Coaches, mentors and influences others to accomplish departmental goals</li>
<li>Actively seeks to connect resources across departments to share expertise educating teams on initiatives, strategy and models</li>
<li>Works to maintaining a friendly and collaborative work environment
<br>
</li></ul><br>
<br>
<br>
<p>Job Qualifications</p><br>
<ul>
<li>Prefers a Master’s in a quantitative field such as statistics, mathematics, finance, or economics or an actuarial designation (ACAS/FCAS) with a bachelor’s degree in a quantitative field</li>
<li>Extensive pricing, statistical, rating plan design, and insurance regulation knowledge, with working knowledge of personal lines underwriting and product offerings and company sales and marketing processes or comparable experience in other data science areas of expertise</li>
<li>Extensive experience in leading teams and cross functional projects</li>
</ul><ul><li>Proven ability to manage teams overseeing machine learning/predictive modeling, and optimization in software such as SAS, SPSS, Matlab, R, CART, Python, Java etc.</li>
<li>Proven knowledge of advanced technique such as GLM, GAM, Machine Learning algorithms, decision tress, etc.</li>
<li>Ability to train, develop, and teach more junior data scientists</li>
<li>An advanced knowledge about business in general and seasoned, in-depth, multi-dimensional knowledge of industry and company economics</li>
<li>Ability to analyze and interpret complex concepts</li>
<li>Ability to lead teams in the development of models</li>
<li>Ability to lead teams in the development machine learning/predictive modeling, and optimization</li>
<li>Ability to provide written and oral interpretation of highly specialized terms and data, and ability to present this data to others with different levels of expertise</li>
<li>Ability to concentrate on a wide range of loosely defined complex situations, which require application of creativity and originality, where guidance and counsel may be unavailable</li>
</ul><ul><li>Proven communication and influence skills taking varying audiences into consideration</li></ul>
<br>
<br>
<br>
</div><br>
<p>The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.</p>
<p><b>Good Work. Good Life. Good Hands®.
</b></p><p>As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life - including a generous paid time off policy.</p>
<p>Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.</p>
<br>
<br>
<p><b>Allstate generally does not sponsor individuals for employment-based visas for this</b> <b>position.</b></p>
<p>
Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.<br>
<br>
For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance.</p>
<p>
For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.<br>
<br>
It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era.</p>
<p>
ABC</p></div></span>","5,375 reviews","Chicago, IL 60601"
Entry Level Staff Geologist/Environmental Scientist,AECOM,"<span id=""job_summary"" class=""summary"">AECOM is actively seeking a highly motivated Entry Level Staff Geologist/Environmental Scientist for employment in the Chicago, IL office. AECOM is pleased to include you in a unique development opportunity, the Graduate Development Program (GDP). This program is designed to support your assimilation into the organization and assist with creating a foundation of knowledge for a successful career at AECOM. You will gain experience in your discipline through learning on the job and participate in development opportunities during the program, including access to AECOM's social media resources, group mentoring, and professional networking. The program also has learning activities that will be available to you, including webinars and online programs.
<br><br>
Imagine working on rewarding projects within a diverse culture, and having access to exceptional training and career development opportunities. Working at AECOM means being part of a global team, working with award-winning professionals across the world. Aspire to be a key player on some of the best projects regionally, with opportunities to work on projects nationally or internationally. Our people bring deep industry knowledge to help you succeed.
<br><br>
The responsibilities of this position include, but are not limited to, those listed below:
<br><br>
+ Support projects by providing field support, data management and interpretation, technical assistance, and reporting
<br><br>
+ Collecting data such as logging soils and rock core, overseeing drilling, and performing groundwater sampling
<br><br>
+ Travel is required
<br><br>
+ Strong written and verbal communication, technical writing, and organization skills
<br><br>
+ Contribute effectively in team situations and establish strong relationships with other teams where overlap of client project work exists
<br><br>
Minimum Requirements
<br><br>
+ Bachelor's Degree (or higher) in Geology or related field
<br><br>
+ Good written and communication skills
<br><br>
+ Strong computer skills, particularly Excel
<br><br>
+ Valid driver license
<br><br>
+ Travel up to several weeks at a time may be required
<br><br>
+ Fieldwork 50-90% of the time
<br><br>
+ Qualified applicants who are offered a position may be subject to random client-mandated substance abuse tests
<br><br>
+ This position does not include sponsorship for United States work authorization
<br><br>
Preferred Qualifications
<br><br>
+ OSHA 40-Hour HAZWOPER
<br><br>
+ OSHA 10-Hour Construction Safety
<br><br>
What We Offer
<br><br>
AECOM is a place where you can put your innovative thinking and business skills into high gear and work alongside other highly intelligent and motivated people. It's a place where you can apply your skills to some of the world's most challenging, interesting, and meaningful projects worldwide. It's a place that values the diversity of our areas of practice and our people. It's what makes AECOM a great place to work and grow. AECOM is an Equal Opportunity Employer.
<br><br>
At AECOM, employee's safety and security are our top Safeguarding core value. All employees are expected to set the highest level of safety expectation in their work, display the highest level of safe behavior, and actively participate in AECOM's Safety For Life Program. SH&amp;E is a part of our company culture and participation is required for all employees.
<br><br>
<b>_NOTICE TO THIRD PARTY AGENCIES:</b> Please note that AECOM does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed Recruitment Fee Agreement, AECOM will not consider or agree to payment of any referral compensation or recruiter fee. In the event a recruiter or agency submits a resume or candidate without a previously signed agreement, AECOM explicitly reserves the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of AECOM.</span>","3,332 reviews","Chicago, IL 60664"
"LeadAnalyst,Data Management and Quantitative Analysis",BNY Mellon,"<span id=""job_summary"" class=""summary""><div>Data Management and Quantitative Analysis - Under moderate guidance, works with internal and external datasets and client reference data and provides analysis in the development statistical, financial and/or econometric models for analyzing asset performance, securities data, derivative pricing, risk exposure or other sophisticated concepts. Provides analytical support and prepares drafts of standard and ad hoc reports for assigned area. With moderate guidance, supports assigned area with more advanced statistical and quantitative analyses. Serves as resource to less experienced colleagues. Runs models, looks for exceptions, takes corrective action. Uses technology tools to conduct analyses. Applies techniques such as SQL and querying and macro development to extract data for populating models. Has a good understanding of the relevant processes and products in assigned area and which analyses, methodologies and approaches best support assessment of performance, risk, or valuation. Interprets findings and prepares initial drafts of standard reports. Prepares ad-hoc reports at the request of managers and/or other leaders. Translates complex technical concepts and analyses to non-technical audiences. Reviews accuracy of reports and calculations performed by less experienced colleagues. No direct reports. Provides guidance to more junior analysts. Primarily responsible for the accuracy and quality of own work. Work contributes to the achievement of team goals.
<h4 class=""jobSectionHeader""><b>Qualifications</b></h4>
Bachelors degree or the equivalent combination of education and experience. Advanced degree in quantitative analysis preferred. 5-7 years experience preferred. Experience in quantitative finance and technology preferred.<br>
<b>BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.</b><br>
<b>Minorities/Females/Individuals With Disabilities/Protected Veterans.</b><br>
<br>
<b>Primary Location: </b>United States-Texas-Houston<br>
<b>Internal Jobcode: </b>70126<br>
<b>Job: </b>Corporate Trust<br>
<b>Organization: </b>Corporate Trust-HR06320<br>
<b>Requisition Number: </b>1807776</div></span>",,"Chicago, IL"
