position,company,description,numreview,location
Institutional Review Board Analyst I - Office of Research,USC,"<span id=""job_summary"" class=""summary""><div><p><b>Please Note: This position is located on our Health Science Campus.</b></p><p><br>
The Office of Research is implementing the University of Southern California’s strategic plan</p><p>
by building interdisciplinary research collaborations that address societal needs and by increasing the impact and prominence of our research. The office invests in research initiatives, promotes our research among sponsors, and provides services that ensure that USC achieves the highest ethical standards in its research.</p><br>
<p>
Reporting to the Senior Director, the Institutional Review Board (IRB) Analyst is primarily responsible for the regulatory review of human subject research proposals submitted for IRB review.</p><br>
<p>
Job Accountabilities:</p><ul><li>
Reviews each submission to ensure that all applicable regulations and institutional requirements will be met</li><li>
Edits informed consent documents to simplify language and improve readability for a general audience</li><li>
Attends IRB meetings and prepares minutes that document the IRB’s determinations and that effectively describe the concerns, rationale, and technical questions of the IRB</li><li>
Responsible for evaluating modifications, and continuing review of ongoing research.</li><li>
Coordinate approval of IRB reliance agreements and monitor USC’s responsibilities under these agreements</li><li>
Review requests for USC investigators to rely on a non-USC IRB and for USC to serve as the IRB for non-USC sites</li><li>
Participates in continuous quality improvement activities in conjunction with USC’s Office for the Protection of Research Subjects</li><li>
Assists in the development, distribution, and utilization of IRB education, training, and guidance material.</li></ul><br>
<p><b>PREFERRED QUALIFICATIONS:</b></p><br>
<p>
Experience:</p><ul><li>
Certified IRB Professional (CIP) certification</li><li>
Previous experience in clinical research</li><li>
Attention to detail</li><li>
Excellent interpersonal, verbal, written and analytical skills</li><li>
Knowledge of medical terminology</li></ul><br>
<p>Field of Expertise:</p><ul><li>
Knowledge of federal, state, local regulations and laws and routine policies and ethical practices for human subjects research</li></ul><br>
Minimum Education:<br>
<ul><li>Bachelor's Degree</li><li>Combined education/experience as substitute for minimum education</li></ul><br>
Minimum Experience:<br>
<ul><li>1 year</li><li>Combined education/experience as substitute for minimum experience</li></ul><br>
Minimum Field of Expertise:<br>
<ul><li>Relevant research experience.</li></ul></div></span>",545 reviews,"Los Angeles, CA"
Analyst - Optimization,The Boston Consulting Group,"<span id=""job_summary"" class=""summary""><div><b>PRACTICE AREA:</b><br>
<br>
BCG's Advanced Analytics Group, GAMMA Solutions &amp; Services (S&amp;S) delivers powerful analytics-based insights designed to help our clients tackle their most pressing business problems. We partner with BCG case teams and practices across the full analytics value-chain: framing new business challenges, building fact-bases, designing innovative analytics workflows, training colleagues in new methodologies, and interpreting findings for our clients. The GAMMA S&amp;S team is a global resource, working with clients in every BCG region and in every industry area. It is a core member of a rapidly growing Analytics enterprise at BCG – a constellation of teams focused on driving practical results for BCG clients by applying leading edge analytics approaches.<br>
<br>
<b>POSITION SUMMARY:</b><br>
<br>
BCG has established GAMMA Solutions &amp; Services to support case teams in managing and realizing insight and opportunity from the increasing analytical intensity of our clients' problems. Scientific Modelers, together with Data Scientists, Data Engineers and Scientific Programmers, Data Visualization Specialists as well Geospatial Analysts, are the core of the Analytics Solutions service. They will work closely with consultants and case teams to provide both consultation on analytics subject matter expertise and hands-on support to case teams, focusing on scientific modeling, simulation, optimization, advanced analytics tools and custom-developed client-facing analytics deliverables.<br>
<br>
The Analyst will join a growing team with a global presence, and will work with both customers and team members worldwide. Successful candidates will possess advanced analytical technical expertise, strong collaborative and execution capabilities, excellent communication skills, a practical and flexible mindset, and high attention to detail and work quality.</div>
<br><div><div><div><div><div><i>Rapid model requirements gathering and analysis</i><ul><li>
Work with project stakeholders to identify business needs and gather requirements for modelling and optimizing business and organizational processes</li><li>
Collaborate with project team members to write prioritized business requirements documentation, including scope definition and statement of work</li><li>
Work with project team members to gather, assess, organize and document business and organizational process components, data and variables for modelling &amp; optimization</li></ul><i>
Simulation and optimization of business and organizational processes</i><ul><li>
Built mathematical or virtual representation of business/organizational processesExecute scenario analysis to provide case teams and clients with guidance on process options and variability</li><li>
Optimize business and organizational processes with problem appropriate technique within required timeframe</li></ul><i>
Provide training, assistance, and support to customers</i><ul><li>
Provide quick-response support to case teams on subject matter expertise via a central request portal</li><li>
Deliver highest-quality work product both within team and to case teams / customers</li></ul><i>
Other</i><ul><li>
Perform internal team projects and duties as assigned or required</li><li>
Occasional travel – dependent on project requirements</li></ul></div>
</div><div><p><b>Basic Job Requirements</b></p>
<div><i>Education &amp; Experience</i><ul><li>
Undergraduate degree in a field linked to operations research, business analytics, engineering, applied mathematics, computer science or related field is required; advanced degree is preferred</li><li>
2-3+ years relevant industry experience, focus on simulation &amp; optimization preferred</li><li>
Previous experience working in a global organization or professional services firm is preferred</li><li>
Experience with data visualization is preferred</li></ul></div>
</div><div><p><b>Key Competencies</b></p>
<div><i>Professional capabilities</i><ul><li>
Problem solving, analytical skills and decision making<ul><li>
Able to effectively handle difficult and stressful situations with poise, tact and patience, while demonstrating a sense of urgency</li><li>
Able to anticipate, identify, and solve critical problems</li><li>
Flexible, self-motivated, and proactive out-of-the-box and critical thinker</li></ul></li><li>
Communication, interpersonal and teaming skills<ul><li>
Excellent interpersonal and communication skills</li><li>
Fluent written and spoken English (other languages desirable)</li><li>
Ability and willingness to give and receive honest, balanced feedback</li></ul></li><li>
Work management, organization and planning<ul><li>
Excellent organizational skills with strong attention to detail, efficient time management, and the ability to prioritize work effectively</li><li>
Independently and proactively communicates issues, priorities, and objectives</li><li>
Ability to thrive in a dynamic, fast-paced, demanding environment</li></ul></li><li>
Customer and business focus<ul><li>
Strong collaborative skills and able to adjust approach to effectively interact with customers at all organizational and technical levels</li><li>
Focus on excellent customer service and user needs</li></ul></li><li>
Values and ethics<ul><li>
Demonstrates competence and character that inspires trust</li><li>
Ability to respect all BCG and client information as personal and confidential</li></ul></li></ul><i>
Technical expertise</i><ul><li>
Experience in core scientific modelling activities (one or more of the following):<ul><li>
Basic algorithmic development in Excel, Matlab, or similar</li><li>
Advanced algorithmic development</li><li>
Probabilistic modelling and Monte-Carlo Simulation</li><li>
Linear optimization</li><li>
Non-linear optimization</li><li>
Heuristic optimization</li><li>
System dynamics simulation</li><li>
Agent-based modelling</li></ul></li><li>
Familiarity with a broad base of simulation and modeling tools (one or more of the following):<ul><li>
Algorithm development: e.g. Excel, Matlab, Alteryx, Anylogic, AIMMS, Python</li><li>
Simulation: Anylogic, netlogo, iThink, Java, Mason</li><li>
Optimization: Gurobi, CPLEX, Mason, …</li></ul></li><li>
Programming and/or scripting experience a plus: e.g. SQL, Python, C#, Perl, Spark</li></ul></div>
</div><div><p><b>Company Information</b></p>
<div>The Boston Consulting Group (BCG) is a global management consulting firm and the world’s leading advisor on business strategy. We partner with clients from the private, public, and not-for-profit sectors in all regions to identify their highest value opportunities, address their most critical challenges, and transform their enterprises. BCG was founded in 1963 and is a privately owned firm with more than 14,000 employees across 85 offices in 48 countries. Integrity, respect for the individual, delivering value, and making an impact on society are just some of BCG's core values. BCG's commitment to both our clients' success and our own standards is what sets BCG apart as a world-class professional services organization. Join BCG - start your career at a company that is consistently ranked as the leader in its field, and is acknowledged as one of the best places to work.</div>
</div><div><p><b>Non-discrimination Statement</b></p>
<div>The Boston Consulting Group is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, sexual orientation, gender identity / expression, national origin, disability, protected veteran status, or any other characteristic protected under federal, state or local law, where applicable, and those with criminal histories will be considered in a manner consistent with applicable state and local laws. In addition, as a federal government contractor, BCG maintains an affirmative action program which furthers its commitment and complies with recordkeeping and reporting requirements under certain federal civil rights laws and regulations. BCG is an E-Verify Employer. Click here for more information on E-Verify. VEVRAA Federal Contractor</div></div></div></div></div></span>",198 reviews,"Los Angeles, CA"
Postdoctoral Research Associate,USC,"<span id=""job_summary"" class=""summary""><div><p><b>Environment and background</b></p><p>
Our focus at the Lawrence J. Ellison Institute for Transformative Medicine of USC is improving cancer outcomes by discovering optimal approaches to personalized therapy. Our vision is that a patient’s own metrics will determine their most effective treatment. They include molecular tumor markers, the dynamics of intracellular processes, or the behavior of cells across diverse microenvironments. We investigate a broad range of biological systems, including cell culture, mouse models, and patient-derived tissues.</p><br>
<p><b>
Position responsibilities</b></p><p>
We are seeking a postdoctoral scholar research associate who has expertise in machine learning and has a strong interest in cancer research. The candidate will collaborate with biological scientists and clinicians to understand their experiments and data to devise predictive machine learning platforms. Expertise in multiple machine learning approaches, including SVMs, DCNNs, and elastic nets is required. The ability to communicate effectively with biologists and clinicians on their own terms is essential. The successful applicant will be capable of working with complex multi-modal data and distilling them into formats appropriate for machine learning. Data sets will include histopathology images, high-dimensional multi-omic data, time series from live cell microscopy, and complex clinical data from electronic medical records. The candidate must be willing to perform low-level data manipulations, including locating/downloading data from public resources, populating databases, and data reformatting.</p><br>
<p><b>
Requirements</b></p><p>
PhD in computer science, statistics, mathematics, or related discipline. Three or more years’ experience in hands-on machine learning using real-world data. Expertise in:</p><p>
SVMs, DCNNs, elastic nets</p><p>
Cross validation techniques</p><p>
Model complexity and bias-variance tradeoff</p><p>
Extensive hands-on expertise with machine learning packages in high level languages such as C, C++, Python, R, Matlab. Experience with at least one of: Theano, Tensorflow, PyTorch Ability to effectively present technical concepts and research results to a scientific audience Effective technical writing skills</p><p>
Key success factors in the performance of this position include a high level of attentiveness to detail, the ability to collaborate closely with others from diverse disciplines, flexibility in technologies, and enjoyment of learning.</p><br>
<br>
<p><b>Other:</b></p><p>
Preferred Education: PhD in computer science, statistics, mathematics, or related discipline.</p><p>
Preferred Experience: 3 or more years’ experience in hands-on machine learning using real-world data.</p><p>
Preferred Field of Expertise: Expertise in SVMs, DCNNs, elastic nets, cross validation techniques, model complexity and bias-variance tradeoff. Extensive hands-on expertise with machine learning packages in high level languages such as C, C++, Python, R, Matlab. Experience with at least one of: Theano, Tensorflow, PyTorch.</p><p>
Posting Salary Range: $48,000– $70,000</p><p>
Percentage of Time: 100%</p><p>
Fixed Term: 1 year</p><br>
Minimum Education: Ph.D or equivalent doctorate within previous five years<br>
Minimum Experience: 0-1 year<br>
Minimum field of Expertise: Directly related education in research specialization with advanced knowledge of equipment, procedures and analysis methods.</div></span>",545 reviews,"Los Angeles, CA"
Research Analyst,"SHIELDS for Families, Inc.","<span id=""job_summary"" class=""summary""><b>SUMMARY OF DUTIES:</b><br>
Developing, administering, and implementing tools for the ASK Program evaluation.
<br>Perform data entry of information to maintain database(s) through custom software for the Healthy Start Program, Healthy Families America, and Parents as Teachers. Responsible for the accuracy, efficiency and retrieval of processed data. Proof material entered as required and generate data reports as required
<br>Record the findings of the evaluation/data collection tools to evaluate the effectiveness of the program.
<br>Develop techniques ranging from surveys and focus groups to statistical analysis, and market research analysts to help programs more effectively provide services to participants enrolled.
<br>Coordinate with billing department and leads for system modification as necessary.
<br>Organize and report data as requested.
<br><br>
<b>BENEFITS AND PERKS:</b> Supportive, fun and friendly team environment!
<br><br>
Competitive Wages
<br>Employee Referral Incentives
<br>Employee Assistance Programs
<br>17 Paid Holidays
<br>Training Department, dedicated to on-going training of all staff
<br>Full-time employee paid benefits including; Medical, Dental and Vision
<br>Excellent Discounts for employees, friends and family to theme parks, movies, hotels and more!
<br>Eligible for Federal Student Loan Forgiveness
<br>Educational Leave
<br>Travel Time &amp; Mileage Reimbursement
<br>Opportunity for Growth and Promotion
<br><br>
<b>SALARY:</b> Commensurate based on experience.</span>",48 reviews,"Los Angeles, CA 90002"
Additive Materials and Process Scientist,Divergent 3D,"<span id=""job_summary"" class=""summary""><div><div><div><b>Position Specification: Additive Material and Process Scientist</b></div><div><br>
</div><div>
Divergent 3D aims to revolutionize the auto industry through 3D printing. Our patented production system incorporates 3D printed Nodes, which are combined with lightweight standardized materials using our patented joining system to create strong and efficient complex structures. Divergent 3D's technology eliminates tooling and drives radical innovation, capital reduction, and sustainability in vehicle manufacturing. We put a powerful new set of tools into the hands of creative innovators, enabling success in the auto industry for a new generation. Our engineering prototype, Blade, is the world's first 3D printed supercar.</div><div><br>
</div><div>
We are committed to transforming the Divergent 3D production system away from traditional manufacturing methods and to 3D printing enabled systems using new materials and technologies. To do this, we need a forward looking and innovative team member who will help to shape the future of processing 3D printed structures and components. Divergent is seeking an experienced and motivated additive material scientist that can lead the development of robust process parameters to ensure the highest level of production material quality. This individual will advance our techniques for process parameter development and property optimization, with the opportunity to add to our patent portfolio in this area.
</div><div><b>Position Objectives</b></div><div><br>
</div><ul><li> Have demonstrated leadership in metallurgy, welding engineering, and/or additive materials processing, along with the ability to teach and set standard practices within the domain.</li><li> Serve as the Principal Investigator in process development and optimization of AM processes. Individual will have domain expertise in one or more additive manufacturing modalities, and hands-on experience in process control algorithm development, process parameter optimization, and additive material mechanical property analysis.</li><li> Remain current in the state of the art of additive process development and drive projects relating to performance improvements, printer productivity, cost reductions, and problem resolution.</li><li> Engage peers and reinforce collaborative approaches to problem solving.</li><li> Possess the ability to define scope, manage resources, measure progress, and communicate status of materials process development projects.</li><li> Have solid interpersonal and communication skills with the ability to interface cross-functionally across engineering groups and effectively communicate process constraints and provide inputs on equipment improvement.
</li><li> Assure proper documentation of technical data generated for the assigned projects and / or tasks consistent with engineering policies and procedures. Follow defined procedures and processes and help to create them where needed.</li></ul>
<div><b>
Required Experience</b></div><div><br>
</div><ul><li> MS or Ph.D. in Materials Science, Physics, Metallurgy, Welding Engineering or related fields</li><li> 7+ years of experience developing processing parameters for production of 3D printed metal components</li><li> Experience with powder metallurgy</li><li> Hands on experience with materials test laboratory equipment and processes such as SEM, ICP, EDS, EBSD, IGF, pycnometer, PSD measurement, XRF, and OES</li></ul><div>
Experience with statistical analysis and preparation of design allowables</div><ul><li> Experience with Failure and Forensic Analysis</li></ul></div>
<div><div>Divergent 3D is an equal opportunity employer committed to diversity in the workplace. Our positions adhere to all statutory and regulatory requirements. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, age, national origin, disability, protected veteran status, gender identity or any other factor protected by applicable federal, state or local laws.</div></div></div></span>",,"Los Angeles, CA"
Research Analyst,Investigative Company,"<span id=""job_summary"" class=""summary""><p>Incumbent will investigate, perform research and conduct Open Source Intelligence (OSINT) necessary to support the company's efforts to protect the Intellectual Property Rights of multiple world famous brand owners through detailed investigations, reports and analytical functions. Incumbent will be responsible for gathering data and intelligence related to the company's efforts to protect the interests of the company's clients in a dynamic fast-paced work environment.</p><p><b>Duties and Responsibilities: </b></p><ul><li>Responsible for supporting global brand protection for multiple brands worldwide.</li><li>Conduct investigations in an undercover capacity via online, phone, and/or email.</li><li>Complete purchases from websites, sellers, and/or social media platforms.</li><li>Coordinate research leads on subjects related to criminal or illicit activities with an emphasis on involvement in counterfeit product manufacturing and distribution.</li><li>Utilize current trending social media and mobile applications to gain access and information on subjects, which may require a communication exchange.</li><li>Conduct research or Open Source Intelligence (OSINT) on sellers or companies related to criminal or illicit activities with an emphasis on involvement in counterfeit product manufacturing and/or distribution.</li><li>Perform due diligence on background investigations for subjects of interest involved in criminal activities, which will require being in an undercover capacity.</li><li>Research, develop, and prepare analytical intelligence and informational reports which will include narrative, tabular and graphic materials.</li><li>Mine data for unknown linkages to existing information and open source / public data.</li><li>Write lengthy detailed reports on investigations and accurately summarize findings.</li><li>Effective communication with management regarding time and status of investigation.</li><li>Multi-task, set priorities, and exhibit excellent follow-up.</li></ul><p><b>Knowledge, Skills, and Abilities: </b></p><ul><li>Prior investigative and/or PI experience is preferred</li><li><b>Excellent planning, time management and organization skills.</b></li><li><b>The ability to meet deadlines and prioritize case load.</b></li><li>Experience in preparing organized and well-documented research analytical reports.</li><li>Experience with intelligence analysis processes, including Open Source Intelligence (OSINT) and source verification, data fusion, link analysis.</li><li>Excellent inquisitive, research, and analytical skills.</li><li>Creative problem-solving skills.</li><li>A good eye for detail and a good memory.</li><li>Excellent use of grammar and writing skills.</li><li>Must be willing to accept consistent adaptability/process improvements.</li></ul><p>Education (Preferred): Bachelor's degree or equivalent work experience.</p><p><b>Please email your resume and cover letter for consideration.</b></p><p>Job Type: Full-time</p><p>Experience:</p><ul><li>Research: 1 year</li></ul><p>Education:</p><ul><li>High school</li></ul><p>Location:</p><ul><li>Los Angeles, CA</li></ul></span>",,"Los Angeles, CA"
"Research Analyst, HIV Incidence Surveillance",Heluna Health,"<span id=""job_summary"" class=""summary""><div><div>Under the HIV Surveillance project, the Research Analyst will work on HIV Incidence Surveillance (HIS) activities.<br>
<br>
ESSENTIAL FUNCTIONS<br>
The duties of the Research Analyst include, but are not limited to:<br>
<br>
<ul><li>Strengthen relationships with and train private providers and other non-publicly funded HIV testing providers on the collection of HIV testing and antiretroviral history information;</li><li>Contact health care providers to obtain missing surveillance information;</li><li>Perform routine quality assurance of HIV testing and treatment data and work to resolve issues related to the data quality as needed;</li><li>Assist in activities to identify early HIV infection using lab reports and documented HIV negative test results;</li><li>Analyze surveillance data for statistical reports and data requests from other public health professionals, students, and the public; and</li><li>Provide assistance to the epidemiologists on other tasks.</li></ul>
<br>
JOB QUALIFICATIONS<br>
<ul><li>Knowledge of HIV diseases, behaviors that transmit HIV, and those diseases or conditions that are often co-morbid with HIV.</li><li>Experience in SAS programming and Microsoft Office applications.</li><li>Knowledge in Epidemiology, biostatistics, and HIV and other public health disease reporting systems.</li><li>Experience working with data import, data entry, and conducting quality checks via SAS programming and browser-based applications.</li><li>Knowledgeable and/or certified in HIPAA compliance, rules and regulations within the last five (5) years.</li><li>Strong organization and communication skills.</li></ul>
<br>
Education/Experience<br>
<ul><li>A Master's degree in a field of the behavioral or social sciences and one year's post master's research experience - OR - a Bachelor's degree in a field of the behavioral or social sciences and any combination of relevant education and/or experience totaling three years.</li><li>Experience in SAS programming and Microsoft Office applications.</li><li>Experience working with data import, data entry, and conducting quality checks via SAS programming and browser-based applications.</li></ul>
<br>
Certificates/Licenses<br>
<ul><li>Valid Class C California Driver's License, proof of vehicle insurance, and reliable transportation for travel to a variety of sites throughout Los Angeles County.</li><li>Phlebotomy certification strongly preferred.</li></ul></div>
<div>
Other Skills, Knowledge, and Abilities<br>
<ul><li>Successful clear the Live Scan process through LA County.</li></ul>
<br>
PHYSICAL DEMANDS<br>
Stand Frequently<br>
Walk Frequently<br>
Sit Frequently<br>
Handling / Fingering Occasionally<br>
Reach Outward Occasionally<br>
Reach Above Shoulder Occasionally<br>
Climb, Crawl, Kneel, Bend Occasionally<br>
Lift / Carry Occasionally - Up to 50 lbs<br>
Push/Pull Occasionally - Up to 50 lbs<br>
See Constantly<br>
Hear Constantly<br>
Taste/ Smell Not Applicable<br>
<br>
Not Applicable Not required for essential functions<br>
Occasionally (0 - 2 hrs/day)<br>
Frequently (2 - 5 hrs/day)<br>
Constantly (5+ hrs/day)<br>
<br>
WORK ENVIRONMENT<br>
General Office Setting, Indoors Temperature Controlled<br>
<br>
PHFE dba Heluna Health is an Affirmative Action, Equal Opportunity Employer that encourages minorities, women, veterans, and disabled to apply.</div></div></span>",15 reviews,"Los Angeles, CA"
Data Analysis Engineer,Dealmoon,"<span id=""job_summary"" class=""summary""><p>职位:数据分析工程师</p><p>工作地点:加州洛杉矶</p><p>职责和核心要求:</p><p>1.对产品运营数据进行分析、监测、统计,并形成指标体系;</p><p>2.制定业务核心指标,并进行分析维度拆解,通过对多维数据的深入分析,发现数据异常并定位原因,提出解决方案;</p><p>3.搭建业务转化漏斗,通过对用户行为深入分析,发现用户增长关键因素,联合产品、研发、运营等团队寻找提升用户成长方案,推动落地并评估效果;</p><p>4.对主要竞品的产品改进、数据波动保持密切关注,并进行细致对比分析,挖掘可借鉴方向。</p><p>其它要求:</p><p>1. 具有行业视野和全局观。</p><p>2. 对技术应用有很强的理解力和参与技术讨论的能力。</p><p>3. 优秀的写作、表达、沟通、协作能力。</p><p>任职资格:</p><p>1.统计学、数学、计算机等相关专业本科及以上学历;</p><p>2.较强的统计学基础,优秀的数据处理能力,敏锐的数据洞察力,良好的业务理解力;</p><p>3.熟练掌握Hive/SQL,精通excel,掌握Python//R 尤佳,了解基本的数据分析方法与模型;</p><p>4.能独立完成从数据提取到模型构建,部门沟通到输出分析报告,提出并解决具体的业务问题;</p><p>5. 拥有一定的技术背景,能与技术团队良好协同,有大型研发项目合作经验者优先;</p><p>6.中英文流利。</p><p>Job Type: Full-time</p><p>Language:</p><ul><li>Chinese</li></ul></span>",,"Los Angeles, CA"
Data Scientist,Talent & Acquisition LLC,"<span id=""job_summary"" class=""summary"">Data Scientist contract in Los Angeles, CA (Burbank area). W2 only, no sponsorship.
<br><br>
<b>Duties/Requirements:</b><br>
<ul>
<li>Client is a national broadcast media company</li>
<li>Hands-On Data Science background</li>
<li>Experience with R or Python</li>
<li>Must have predictive modeling experience in order to optimize and build predictive models</li>
</ul>
#TA</span>",,"Los Angeles, CA"
Postdoctoral Scientist (Immunology),Cedars-Sinai,"<span id=""job_summary"" class=""summary""><div>Dr. Helen Goodridge is looking for a postdoctoral scientist to join her research group (www.csmc.edu/goodridgelab) in the Cedars-Sinai Regenerative Medicine Institute (www.csmc.edu/rmi). The Goodridge lab studies the production and functional programming of myeloid cells (neutrophils, monocytes, macrophages and DCs), and their roles in infectious and inflammatory diseases, aging and tissue regeneration. The Goodridge lab works closely with other Cedars-Sinai researchers (including the Berman, Underhill, Koeffler, Svendsen, Baloh and Stripp groups), as well as external collaborators.<br>
<br>
The postdoc should have an interest and prior expertise in immunology and/or hematology, with strong experience of flow cytometry, tissue culture, molecular biology (e.g. RNA-seq, ChIP, DNA barcoding) and rodent studies (e.g. adoptive transfer, bone marrow transplantation). Bioinformatics/computational experience would be an advantage. The postdoc will work independently under the direction of the PI (Dr. Goodridge) and cooperatively with a team of other research staff. The postdoc will develop one or more research projects, plan and conduct experiments, and prepare data for publication and grant proposals. The postdoc will also collaborate with other investigators, train junior lab members, participate in lab meetings, and present their research at meetings. Excellent written and oral communication skills are required.<br>
<br>
Duties will include but are not limited to:<br>
Designing and performing experiments; analyzing, interpreting and compiling data; maintaining appropriate written and electronic records.<br>
Performing routine and complex laboratory procedures; developing, adapting and implementing new research techniques and protocols.<br>
Assisting with training of junior lab members and participation in collaborations with other investigators.<br>
Participation in publications and presentations as a main author or co-author.<br>
Submitting fellowship proposals and assisting the PI with grant proposals (but not responsible for generating grant funds).<br>
<br>
Additional Information:<br>
Scheduling flexibility including evening, weekend and holiday rotation commitment is required. Travel may be required.</div>
<br><div><div>Educational Requirements:<br>
Doctorate (MD, PhD, VMD, or DDS) in area directly related to field of research specialization.<br>
<br>
Experience:<br>
The applicant must be highly motivated and able to work independently within an area of specialization as well as collaboratively with other researchers. The applicant must have demonstrated aptitude to perform experimental procedures (including detailed data collection and analysis), superior interpersonal, communication and organizational skills, advanced computer skills, and the ability to work across disciplines and functional units. Experience with cell culture and rodent models is required (experience with stem cell culture is preferred). Experience with cellular and molecular biology techniques, flow cytometry, microscopy and immunohistochemistry is preferred. The applicant must be willing to perform animal husbandry and work with mouse and human tissues, and should be able to work on weekends if necessary.<br>
<br>
Physical Demands:<br>
Minimal lifting &amp; walking.</div></div></span>",661 reviews,"Los Angeles, CA"
