position,company,description,numreview,location
Software Developer,Cytobank Inc.,"<span id=""job_summary"" class=""summary""><p>Cytobank is looking for an experienced full stack Software Developer who works well in teams and delivers high quality code on time. If you are interested in using your skills to contribute to a platform that is helping leading scientists around the world treat cancer and other important diseases we’d love to chat. This role is a great opportunity to work with experienced developers and biological data scientists in a dynamic growing informatics company.</p><p>Cytobank is a cloud-based machine learning platform that is enabling faster, more thorough analysis, visualization, and management of high dimensional single cell data in biological research. Leading scientists from the top pharmaceutical companies and academic medical research institutions around the world use the platform to answer complicated, cutting-edge scientific questions. The application processes datasets with millions of cells that have 50 or more features per cell and displays biologically useful correlations. The platform can reduce the analysis time from months to days accelerating learnings made from clinical trials and helping speeds therapies to market to ultimately help patients.</p><p>What you will be doing</p><ul><li>Design and build new backend services on AWS to support our platform</li><li>Design and build new front-end features</li><li>API design and development</li><li>Maintain and improve the performance of existing software</li><li>Write tests for existing and created code to ensure compatibility and stability</li></ul><p>Minimum Qualifications</p><ul><li>Bachelor’s Degree in Computer Science or equivalent experience required</li><li>4+ years’ software development or programming experience</li><li>Extensive experience with Java, C++, Ruby, Python, and other programming languages</li><li>Experience with JavaScript frameworks like AngularJS, React, Ember etc. (we currently use Backbone with Marionette)</li><li>Database technologies like MySQL, Oracle, PostgreSQL, and MongoDB</li></ul><p>Desired Qualifications</p><ul><li>Deployed production applications on AWS</li><li>AWS Lambda or other FaaS</li><li>Java</li><li>Ruby on Rails</li><li>Experience working with large file processing</li><li>HPC / high performance compute</li><li>Exposure to scientific software or biological research is a bonus</li></ul><p>Top reasons to work with us</p><ul><li>Join a talented and passionate team that provide the leading cloud based platform for analyzing, storing and sharing high dimensional life science data</li><li>Contribute to humanity by helping leading scientists around the world discover and develop therapies for cancer, infectious disease, immunological malignancies, among other diseases</li><li>Office on Castro Street in vibrant downtown Mountain View, the epicenter of Silicon Valley</li><li>Stock options, medical benefits, munchies and beverages</li></ul><p>Position Details</p><ul><li>Full time</li><li>Competitive salary and benefits</li><li>Ideally based near Mountain View, CA but will consider other locations in the US.</li></ul><p><i>Cytobank is an equal opportunity employer. We eagerly seek applicants of diverse background and hire without regard to race, color, gender identity, religion, national origin, ancestry, citizenship, physical abilities, age, sexual orientation, veteran status, or any other characteristic protected by law. </i></p><p><i>Note: Our stewardship of the data of many thousands of customers means that a criminal background check is required to join Cytobank.</i></p><p>Job Type: Full-time</p><p>Experience:</p><ul><li>Software Development: 4 years</li></ul><p>Education:</p><ul><li>Bachelor's</li></ul><p>Location:</p><ul><li>Mountain View, CA</li></ul><p>Required work authorization:</p><ul><li>United States</li></ul></span>",,"Mountain View, CA 94040"
Quantitative Researcher - AI and Machine Learning Specialist,American Century Investments,"<span id=""job_summary"" class=""summary""><div><p>The Disciplined Equity Research Group at American Century Investments is looking for a quantitative researcher with a specialization in machine learning and a passion for quant finance. The applicant will be part of a nimble and talented fintech team, working together towards innovation and investment success. The work you do will directly contribute to enhancing the team’s research capabilities and stock-picking algorithms, which underlie over $14 billion in assets under management.
</p><br>
<p>In this role, you will lead a variety of quantitative research projects that leverage unstructured data, machine learning, and artificial intelligence to enhance our stock-selection algorithms. You will also design and implement strategic technology enhancements to our cutting-edge research platform, including big data processing and cloud-based infrastructure.
</p><br>
<p>The position is based out of Mountain View, CA.
</p><br>
<p><b>Responsibilities
</b></p><ul><li>Research and develop stock-selection models – focused specifically in the areas of machine learning and AI – that will feed directly into our portfolio construction processes
</li><li>Design and implement strategic enhancements to our investment technology and AI platforms
</li></ul><br>
<p><b>Qualifications
</b></p><ul><li>M.S. or PhD in Computer Science, Statistics, or other quantitative discipline with an emphasis on machine learning
</li><li>5-10 years of hands on experience applying AI concepts to solve equity investment problems, including unstructured data, machine learning, and natural language processing
</li><li>Experience with big data processing and cloud infrastructure
</li><li>Quantitative finance experience, including time-series analysis, financial databases for equities, and portfolio analysis/construction concepts
</li><li>Experience with R, Python is preferred.
</li><li>Ability to communicate technical findings and work within a team environment
</li></ul><br>
<p>We look forward to hearing from you!
</p><br>
<br>
<p><b>EOE Policy Statement </b>: American Century Investments believes all individuals are entitled to equal employment opportunity and advancement opportunities without regard to race, religious creed, color, sex, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, gender, gender identity, gender expression, age for individuals forty years of age and older, military and veteran status, sexual orientation, and any other basis protected by applicable federal, state and local laws. ACI does not discriminate or adopt any policy that discriminates against an individual or any group of individuals on any of these bases.</p></div></span>",51 reviews,"Mountain View, CA 94043"
Principal NLP Scientist for Search,JD.com,"<span id=""job_summary"" class=""summary""><b>Responsibilities:</b><br>
<b>Include but are not limited to the following three main areas:</b>
<br><br>
<ul>
<li>Applying Deep Learning or traditional NLP algorithms such as RNN/DNN/CRF to improve Entity Recognition and Sequence Labeling</li>
<li>Applying machine learning algorithms to improve query understanding, query suggestion, query rewriting and user intention detection</li>
<li>Work with engineering team to implement these algorithms into search run-time system</li>
</ul>
<b>Qualifications:</b><br>
<ul>
<li>Master or Ph.D. in Computer Science, Electrical and Computer Engineering, Statistics, or equivalent;</li>
<li>Research experience in Natural Language Processing, Machine learning or Information retrieval</li>
<li>Research experience in Entity Recognition, Sequence Labeling, familiar with RNN/DNN/CRF/HMM…</li>
<li>Research experience in Query Understanding</li>
<li>Familiar with at least one of scripting languages such as Python/R/Shell</li>
<li>Solid knowledge of Big Data concepts (Hadoop, Pig, Hive, etc.)</li>
</ul>
About JD Search Team
<br><br>
JD’s search team is responsible for research and development of the search algorithms for all JD’s search products. Search is the main entrance to JD’s online retail business - the core business of JD.COM, and smart device business. The quality of search results plays a very important role to the online shopping experience of our customers, thus adding significant values to the success of the JD’s online retail business. With the hundreds of millions of customers and items JD has, even a small improvement on the search algorithm may have great impact on the business and people’s everyday life. By leveraging the state of the art machine learning/deep learning algorithms, we strive to understand the intent and behavior of our customers and to present the most relevant and personalized search results, allowing customers to make an informed purchase decision. We are recruiting talented experts to join our team to create the next generation of innovative and intelligent search products for JD.COM ( http://JD.COM ).
<br><br>
JD.com is an Equal Opportunity Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class.</span>",6 reviews,"Mountain View, CA"
Machine Learning Engineer,Natero,"<span id=""job_summary"" class=""summary""><div><p>Machine learning is a key part of the Natero platform, driving predictive alerts to Customer Success managers that help them focus on the right accounts at the right time.</p><p>
As a machine learning engineer, your primary responsibilities would be the research, prototyping and productization of new machine learning models to tackle the challenges of behavioral prediction. This position is a mix of data science with system design and implementation, and a great fit for someone looking to not only work with data, but build the systems for processing and analyzing it.</p></div>
<br><div><div><h6 class=""jobSectionHeader""><b>Requirements</b></h6><ul><li>
MS or PhD with 3+ years of experience in Machine Learning, Statistics, Applied Mathematics or related field</li><li>
Strong understanding of theoretical and practical aspects of various machine learning techniques: classification, regression, clustering, etc.</li><li>
Strong system design skills and experience with distributed systems.</li><li>
Ability to conduct independent research and turn ideas into production code.</li><li>
Familiarity with various statistical packages: R, scikit-learn etc.</li><li>
Excellent programming skills in python, Java or C/C++</li><li>
Proficiency in SQL.</li><li>
Experience working with time-series dataset a plus.</li></ul></div></div></span>",,"Mountain View, CA 94040"
Machine Learning/Deep Learning Scientist,DNAnexus,"<span id=""job_summary"" class=""summary"">DNAnexus combines expertise in cloud computing and bioinformatics to create the global network for genomics, operating in North America, Europe, Asia-Pacific (including China), South America, and Africa. The secure, scalable, and collaborative cloud-based DNAnexus Platform helps thousands of researchers across a spectrum of industries – biopharmaceutical, bioagricultural, sequencing services, clinical diagnostics, government, and research consortia – accelerate their genomics programs globally. Headquartered in Mountain View, CA, our company is supporting customers around the world that are tackling some of the most challenging and exciting opportunities in human health and more.
<br><br>
The field of genomics represents an untapped opportunity to use new approaches in machine learning and deep learning to drive improvements to human health. DNAnexus is a company with access to the key ingredients to apply this – large scale cloud compute, large labeled datasets, and partnerships with entities applying genomics in clinical practice.
<br><br>
DNAnexus is the leading company in cloud genomics and bioinformatics. The DNAnexus cloud platform holds tens of petabytes of data from our customers at the forefront of clinical diagnostics, pharmaceutical research and development, and large scale academic consortia.
<br><br>
The Machine Learning/Deep Learning scientist will leverage the extensive data on DNAnexus and our partner team at cloud partner companies Google and Microsoft to develop new applications of machine learning and deep learning to genomics.
<br><br>
The Machine Learning/Deep Learning scientist will work in a team of both genomics experts and machine learning experts. This team will collaborate to determine the right problems to solve, the best way to structure features, data, and labels, and the correct training and evaluation strategies.
<br><br>
<b>Specific responsibilities include:</b><br>
<ul>
<li>Train, evaluate, and productionize machine learning models to genomics questions</li>
<li>Collaborate with genomics experts to structure genomics problems in a tractable manner for machine learning and deep learning approaches</li>
<li>Collaborate with customer and partner teams in the practical application of these machine learning models</li>
</ul>
Qualifications/Experience
<br><br>
<ul>
<li>B.S./M.S. in computer science with specialization in machine learning or deep learning at 3+ years of industry experience OR Ph.D in computer science with specialization in machine learning or deep learning.</li>
</ul>
Knowledge and skills
<br><br>
<ul>
<li>Mastery of machine learning concepts</li>
<li>Strong programming ability in Python (strong ability in C++ a plus)</li>
<li>Experience with TensorFlow, Keras, PyTorch, or similar framework</li>
<li>Prior experience working in collaborative coding – familiarity with git or other version control</li>
<li>Prior experience in taking a machine learning application from ideation into production</li>
<li>Background knowledge or experience in bioinformatics or genomics is a plus, but is not required</li>
<li>Strong grasp of scientific method and hypothesis-driven investigation</li>
<li>Good communication and collaboration skills</li>
</ul>
DNAnexus is experiencing rapid growth and is searching for the best talent to join our team. We are headquartered in in Mountain View, with additional offices in San Francisco and Boston. Our key investors include Google Ventures, TPG Biotech, Wuxi NextCODE and Claremont Creek.</span>",,"Mountain View, CA"
Senior Data Scientist,JD.com,"<span id=""job_summary"" class=""summary"">JD.COM is looking for an exceptional self-motivated data scientist to join our Y Business Unit (JD-Y) in JD.COM Silicon Valley R&amp;D Center. JD-Y owns the technology platform that drives one of the largest supply chain and fulfillment networks in the world. As a data scientist, you will be able to work with the data generated by hundreds of millions of JD.COM’s active users and your work will directly influence critical operations of the multi-billion dollar business such as inventory management, dynamic pricing, product selection, vendor management and more.
<br><br>
<b>Responsibilities:</b><br>
<ul>
<li>Work with business, engineer and product management teams to form understandings of the requirements and processes of existing systems. Apply data mining, quantitative analysis and visualization techniques to exam existing business status and identify opportunities for improvements.</li>
<li>Analyze and validate real-world data, work with engineer and product management teams to design solutions to improve data quality.</li>
<li>Build predictive models and machine learning models to provide business insights.</li>
</ul>
<b>Qualifications:</b><br>
<ul>
<li>Master or Ph.D. degree in Computer Science, Operational Research, Statistics, Mathematics or related field.</li>
<li>3+ years of hands-on experience with large scale data platforms such as Hadoop and Hive.</li>
<li>Extensive experience with data manipulation and analysis using SQL.</li>
<li>Development experience in scripting languages such as Python.</li>
<li>Experience with statistical software such as R.</li>
<li>Ability to communicate the analysis results with the leadership teams to influence the strategy of product and business development.</li>
<li>Excellent written and oral communication skills.</li>
</ul>
About JD-Y team
<br><br>
JD Y Business Unit (JD-Y) focuses on building a smart supply chain and using AI to drive retail reform. JD-Y applies AI algorithm and use data-driven approaches in product selection, inventory management, pricing and promotion. It also leverage big data technologies in smart retail to lower the costs of distribution. JD-Y is working with leaders in industry and academia to design and build the next generation supply chain management system.
<br><br>
JD.com is an Equal Opportunity Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class.</span>",6 reviews,"Mountain View, CA"
Sr. Data Scientist,UserTesting,"<span id=""job_summary"" class=""summary""><div>Job Description<br>
<br>
<p>As a member of the Product Insights team, you will use machine learning and statistical techniques to understand and optimize the complex emergent behavior of our testing ecosystem. You will responsible for being a “full-stack” data scientist, from understanding and modelling the problem domain, all the way through developing and deploying production machine learning models to help us efficiently and effectively make business decisions at scale.</p><p>
Integral to the role is your curiosity, deep analytic instinct, and your ability to design, create, implement, synthesize, and communicate machine learning and quantitative research using a variety of data.</p><ul><li>
Define and measure quantitative product/business goals and metrics in collaboration with product managers, business owners and engineers.</li><li>
Prioritize and drive quantitative research and statistical modeling to solve complex business problems.</li><li>
Research, test, and deploy machine learning models to optimize the systems at the core of our business</li><li>
Create and support a data-driven culture among company decision makers</li></ul></div> <div>Qualifications<br>
<br>
<br>
<ul><li>Bachelor's degree with experience or advanced degree in an analytic field that uses quantitative methods to understand complex human systems: Economics, Sociology, Statistics, Mathematics, Science, Engineering and similar quantitative degrees welcome.</li><li>
3+ years of experience in an applied research setting, preferably in Consumer or B2B software development</li><li>
3+ years of experience in creating and deploying production machine learning systems</li><li>
Substantial coding experience with data/statistical packages (eg. SQL/Hive, R, Python (Pandas + Statsmodels + Scikit-learn), Pig, Julia, D3.js)</li><li>
Strong working knowledge of research methodology and statistical techniques including experimentation, statistical inference, and machine learning</li><li>
Experience performing advanced data analytics in a business, academic, or related context (e.g., high-tech, market research, management consulting, operations research, finance, etc.)</li><li>
Production-quality software development experience</li><li>
Ability to explain value of different analytic methods, and the output of data analyses, to non-technical audiences, including executives and managers</li><li>
Big picture perspective and a healthy obsession with detail</li><li>
Deep curiosity and love of problem solving</li><li>
Domain knowledge in: complex systems, game theory, pricing, economics, or auctions strongly preferred</li></ul><br>
<br>
Additional Information<br>
<br>
<p>Besides a great work environment and the opportunity to change the world, we offer competitive salary, benefits, plenty of perks, as well as stock options. We value diversity, and we are proud to be an inclusive, equal opportunity workplace.</p><p>
Learn more about what it is like to work at UserTesting at: https://www.usertesting.com/about-us/jobs</p></div></span>",21 reviews,"Mountain View, CA 94043"
Data Scientist - Safety Risk management,DiDi Labs,"<span id=""job_summary"" class=""summary"">At DiDi, Safety of the people who use our products and security of their data is our highest priority. The Security Engineering team is entrusted to develop safety-enhancing products for our drivers/riders, to monitor cyber threats, analyze vulnerabilities &amp; exploits, research new methods &amp; technologies for detecting cyber-security attacks, and develop innovative software that protects everything from the smallest footprint device to a globally distributed cloud infrastructure.
<br><br>
With petabytes of data, millions of daily transactions, a wide variety of devices, and cutting-edge technologies in hand, we’re solving extremely challenging security problems. We’re looking for talented engineers and researchers to utilize cutting-edge technologies to solve these challenges and grow with our amazing team.
<br><br>
Responsibilities
<br><br>
<ul>
<li>Lay the groundwork – hypothesize as an individual researcher and in collaboration with other team members on how to solve safety problems. Perform data preparation activities, such as collecting, cleaning, and organizing. Work with appropriate parties to resolve or remediate data quality issues.</li>
<li>Produce clear, understandable visualizations, dashboard, and reports to share with Senior Management and business partners, provide the insightful story from the data perspective to safety risk policy owners.</li>
<li>Establish a holistic safety risk modeling framework for addressing the risk of incident or accident involving riders and drivers</li>
<li>Deep dive into data through systematic and ad hoc analyses and build machine learning models to score the identity, behavior, reputation and other risk characteristics of the customers.</li>
<li>Communicate Results on a regular basis to stakeholders in different time zones</li>
</ul>
Qualifications
<br><br>
<ul>
<li>Master degree (Ph.D. is a plus) in Computer Science, Statistics, Engineering or a similar Quantitative field, or equivalent practical experience.</li>
<li>Strong modeling skillset, hands-on mastery of data manipulation and experience with data analytics tools (SQL, R, Python, Hive, Spark, and other data analysis packages)</li>
<li>Experience working in user profiling or anomaly detection is desired but not mandatory</li>
<li>Knowledge of the latest ML techniques like deep learning is a plus, but not a requirement</li>
<li>Creative problem solving and critical thinking skills</li>
</ul>
</span>",,"Mountain View, CA"
Software Engineer - iOS,Quora,"<span id=""job_summary"" class=""summary""><div><div>Quora is growing quickly and our mobile apps are important platforms for sharing and growing the world's knowledge to millions of users.</div><div><br>
</div><div>
iOS engineers at Quora work closely with designers, data scientists, PMs, and fellow engineers to create a great mobile app for Quora, through building user-facing products themselves, or building tools used by teams across the company to execute on mobile-first development. It is important for Quora that every team can quickly and reliably build products across every platform.</div><div><br>
</div><div>
We are looking for iOS engineers who are excited about both building user-facing product and designing and implementing abstractions to scale mobile development across the company. Furthering the mobile app at Quora requires care about product and user experience, deep iOS knowledge, as well as flexibility to work on the server side of the product.</div><br>
<p><b>Responsibilities</b></p><ul><li>
Work with a small team of mobile engineers to build our iOS platform</li><li>
Build new user-facing features and help drive mobile product strategy</li><li>
Create tools and infrastructure to enable rapid iteration cycles on mobile</li><li>
Collaborate with other teams to both enhance mobile user experience and improve speed and reliability of the iOS framework</li></ul><p><b>
Requirements</b></p><ul><li>
3+ years of experience in iOS application development</li><li>
Industry experience in mobile development and production applications</li><li>
Passion for mobile products and user experience, and personal projects or other work on the App Store are a plus</li><li>
High attention to detail in all aspects of development from performance to UI</li><li>
Love of learning and the Quora product</li><li>
Knowledge of Python and JavaScript a plus</li></ul><br>
<div>We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.</div></div></span>",,"Mountain View, CA"
"Research Software Engineer, Google Brain",Google,"<span id=""job_summary"" class=""summary""><div><div><div><p><i>In school or graduated within last 6 months? We encourage you to apply to openings on the </i><i>Students Job Site</i><i>.</i><br>
<br>
<b>Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; New York, NY, USA</b></p><div><p>
We do research differently here at Google. Our team of Research Scientists aren't cloistered in a secret lab but are embedded throughout the engineering organization, allowing them to setup large-scale tests and deploy promising ideas quickly and broadly. Ideas may come from internal projects as well as from collaborations with research programs at partner universities and technical institutes all over the world. From creating experiments and prototyping implementations to designing new architectures, Research Scientists work on real-world problems including artificial intelligence, data mining, natural language processing, hardware and software performance analysis, improving compilers for mobile platforms, as well as core search and much more. But you stay connected to your research roots as an active contributor to the wider research community by partnering with universities and publishing papers.<br>
<br>
You manage individual project priorities, deadlines, and deliverables, adapting to changes and setbacks in order to manage pressures, demonstrating and applying theories through research efforts to develop new and improved products, processes, or technologies.</p>
<p>Research and Machine Intelligence is a high impact team that’s building the next generation of intelligence and language understanding for all Google products. To achieve this, we’re working on projects that utilize the latest techniques in Artificial Intelligence, Machine Learning (including Deep Learning approaches like Google Brain) and Natural Language Understanding. Our work gets used by product teams across Google, including Search, Maps and Google Now.
</p><p>As a Research Software Engineer in the Google Brain team, you work and collaborate closely with Research Scientists on the team. You have the flexibility to switch projects as our research focus shifts and evolves. We need our engineers to be versatile and passionate about managing new problems.
</p><p>This role bridges the gap between Software Engineer and Research Scientist. We are looking for great software engineers who also have experience with language understanding and perception (speech, images, video) - as well as improving algorithms. We work with teams across Google to make their products better and make Moonshots possible. In this role, you'll work alongside world-class Research Scientists in the Google Brain team to bring their ideas to life by implementing algorithms, running experiments and building prototypes.</p>
<p>There is always more information out there, and the Research and Machine Intelligence team has a never-ending quest to find it and make it accessible. We're constantly refining our signature search engine to provide better results, and developing offerings like Google Instant, Google Voice Search and Google Image Search to make it faster and more engaging. We're providing users around the world with great search results every day, but at Google, great just isn't good enough. We're just getting started.</p></div><div><div><div>
Responsibilities
</div><div><ul><li>Participate in cutting-edge research in artificial intelligence and machine learning applications.</li>
<li>Develop solutions for real-world, large-scale problems.</li>
</ul></div></div><div><div>Qualifications
</div><div>Minimum qualifications:<ul>
<li>BA/BS degree in Computer Science, related technical field or equivalent practical experience.</li>
<li>Experience with one or more general purpose programming languages including but not limited to: C/C++ or Python</li>
<li>Experience with linear algebra, calculus and statistics</li>
<li>Machine learning experience</li>
</ul><br>
Preferred qualifications:<ul>
<li>MS or PhD degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field.</li>
<li>Strong computer systems experience.</li>
<li>GPU programming experience.</li>
<li>Large data analysis and visualization experience.</li>
<li>Exposure to industry or academic research.</li>
<li>Exposure to Deep Learning, Neural Networks, or related fields and a strong interest and desire to learn about them.</li>
</ul></div></div></div></div><br>
<div><div>At Google, we don’t just accept difference - we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know.</div></div><div><div><b>
To all recruitment agencies:</b> Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes.</div></div></div></div></span>","2,474 reviews","Mountain View, CA"
