position,company,description,numreview,location
Director of Analytics / Data Mining,Stride Search,"<span id=""job_summary"" class=""summary""><div><p>Director of Analytics / Data Mining
</p><p>Over last two years, highly granular energy data has become accessible to consumers. We have a vision to get this fantastic technology into every single home using this open data access. The position reports to the CEO with a broad responsibility to head the products, marketing and all other aspects of consumer operations.
</p><p>About Us
</p><p>We are a disruptive technology startup, building an innovative energy monitoring solution that is radically changing consumer perspective on energy efficiency. We have developed ground-breaking analytics that can itemize home energy usage data to the appliance level without using any plug-level monitors. Now, we are setting out to deliver this technology to millions of households across the world and capture a market that is predicted to be billions of dollars in next few years. The combination of big data in energy, data mining and consumer advertising come together to make this world a greener place by helping reduce energy consumption at a massive scale. We are funded by one of the top cleantech VCs in the Silicon Valley.
</p><p>Job Description
</p><ul><li>Lead an existing team of data analytics research scientists to perform cutting edge energy analytics
</li><li>Hire further and build a world class data science team
</li><li>Design innovative algorithms to solve real world energy problems
</li><li>Drive day to day technical experiment choices for exploring solutions to a given problem
</li><li>Productize the proven algorithms on tight time schedules
</li><li>Manage IP portfolio by filing patents to strengthen competitive positioning
</li></ul><p>Problem Domains
</p><ul><li>Appliance Energy Signatures. It is the pattern recognition algorithms applied to the energy consumption signatures of various appliances to extract them from the whole house energy profile from Smart Meters.
</li><li>Handling Big Data. With live data from millions of homes, imagine how interesting it would be to be able to predict the clustering of appliances based on model, year, geography, and efficiency and user behavior.
</li></ul><p>Requirements</p><ul>
<li>7-10+ years of industry experience in the Data Mining Research having delivered solutions that are operational in real life applications.
</li><li>BS/MS/PhD/PhD dropout in Computer Science, Statistics, Applied Math, or related areas.
</li><li>Strong background in data mining, machine learning and statistical analysis.
</li><li>Expert pattern recognition and predictive modeling skills (time series analysis, Markov chains, decision trees, etc.)
</li><li>Keen aptitude for large scale data analysis with a knack for identifying key insights from data.
</li><li>Fluency in programming languages like C/C++/Java.
</li><li>Fluency in analytical tools such as Matlab, R, Weka etc.
</li><li>Strong communication and collaboration skills
</li><li>Strong intuition and ability to dig deeper into data
</li><li>Past experience of leading or managing an analytics team a big plus
</li><li>Ability to prototype fast solutions and productize the successful prototypes into production code
</li><li>Ability to enjoy working hard in a high caliber team
</li><li>Startup friendly</li></ul></div></span>",,"Sunnyvale, CA"
Sr. Software Engineer - Machine Learning (PHD preferred),"Petuum, Inc","<span id=""job_summary"" class=""summary""><p>About Petuum</p><p>Today’s Artificial Intelligence (AI) and Machine Learning (ML) solutions are expensive, high-maintenance, skill-intensive, and difficult to reproduce and mass distribute. Such solutions are also extremely specialized in their applications and functions, and rely on maintenance by a select few developers. AI is currently inaccessible to those who would benefit from it the most.</p><p>Petuum's mission is to virtualize and standardize AI and ML programming and computing, and transform it into a simple-to-use, transparent, repeatable, and everyday tool for all enterprises.</p><p>Job Description</p><p>We are seeking outstanding PhD-level engineers in machine learning, distributed systems, deep learning, natural language understanding, and other related fields. You will work with a team of world-class engineers and scientists who are experts in large-scale AI in an agile environment. You will have direct ownership over the projects you work on, and have the flexibility to influence product design and execution.</p><p>RESPONSIBILITIES</p><ul><li>Design, implement and evaluate new models and software prototypes to solve problems in machine learning and systems.</li><li>Provide software design and programming support to machine learning projects.</li><li>Implement and evaluate machine learning algorithms.</li><li>Report and present software developments including status and results clearly and efficiently both internally and externally, verbally and in writing.</li><li>Architect and implement software libraries.</li></ul><p>MINIMUM QUALIFICATION</p><ul><li>PhD in Computer Science or other technical fields.</li><li>5+ experience with implementing machine learning algorithms in Python or C++ and have the desire to learn new programming languages.</li><li>Good knowledge of algorithm design and software engineering.</li><li>Experience with implementing numerical methods and data visualization.</li></ul><p>PREFERRED QUALIFICATION</p><ul><li>PhD in machine learning, systems, computer vision, natural language processing, neuroscience or computer science.</li><li>Relevant experience to the position such as post doctoral roles, a proven track record of publications in relevant fields.</li><li>Contributions to open source projects.</li></ul><p>Job Type: Full-time</p><p>Experience:</p><ul><li>Software Engineering: 5 years</li></ul><p>Education:</p><ul><li>Doctorate</li></ul><p>Required work authorization:</p><ul><li>United States</li></ul></span>",,"Sunnyvale, CA"
Machine Learning Scientist,Stride Search,"<span id=""job_summary"" class=""summary""><div><div>We areseeking experienced Machine Learning scientists to develop predictive personalized healthcare models.</div><br>
<div>
""New human experiences from human data"":We havea history of amazing applied machine learning products (Wii MotionPlus, LiveMove gesture control, AI through behavior capture).</div><br>
<div>
Whats involved in the role?</div><div>
Develop predictive personalized healthcare models as applied products</div><br>
<div>
Why is this what you want to do?</div><div>
You want to channel your machine learning expertise into something socially positive You want a role that is core to a product and a company's direction You want to work in a small team where you can be heard and can make a difference</div><br>
<div>
Requirements</div><div>
PhD. in Machine Learning, Statistics, Physics or related field (or*exceptional* record of relevant applied experience and broad knowledge of ML).</div><div>
Can demonstrate ML expertise (e.g. 5 years in industry, publication/patent/product record).</div><div>
Can demonstrate software engineering expertise (e.g. 5 years in industry). New languages, new tools ""aint no thing.</div><div>
Works well in teams.</div><br>
<div>
Relevant</div><div>
Medical/clinical applied or research background (strong plus) Scala, C++, Python, AWS, SQL, Linux, Mongo/Cassandra Data modelling</div></div></span>",,"Sunnyvale, CA"
Front end Developer - Yahoo News,Oath Inc,"<span id=""job_summary"" class=""summary""><div>Take Yahoo and AOL, fuse them and you get a media and technology company operating at massive global scale. It takes powerful technology to connect our combined media brands and partners with an audience of 1 billion. Nearly half of Oath’s employees are building the code and platforms that help us achieve that. And we’re only getting bigger. Whether you’re looking to write mobile app code, engineer the servers behind our massive ad tech stacks, or develop algorithms to help us process 4 trillion data points a day, what you do here will have a huge impact on our business—and the world. Want in? Oath, a subsidiary of Verizon, is a values-led company committed to building brands people love. We reach over one billion people around the world with a dynamic house of media and technology brands. A global leader in digital and mobile, Oath is shaping the future of media.
<br>
<br>
<p><b>A Little About Us
</b></p><p><b>Oath Media Brands and Products delivers delightful, inspiring and entertaining daily-habit experiences to over half a billion people worldwide. Oath News is the largest digital news organization in the world. It’s the first part of the news daily habit for more people than any other platform across web, mobile and a variety of other experiences. Within Oath News, the Yahoo News team is looking for a front end engineer who can deliver engaging, informative and relevant content to our millions of users at scale. If you eat, sleep and breathe current and next-gen web technologies, if you play around with them in your own time and learn new technologies because you can't help yourself, then we need you to come help us build the next generation of our site!
</b></p><p><b>A Lot About You
</b></p><br>
<p><b>As a Front End Software Engineer at Oath you will specialize in building high performance, scalable, cross-browser compatible, accessible and elegant web applications with HTML5, CSS3, JS and other technologies. You will work hand in hand with world-class teams of other software engineers and architects as well as backend engineers, cloud data experts and computer scientists to build amazing and emotional experiences that will delight our users.
</b></p><br>
<p><b>Responsibilities
</b></p><p><b>Work in an agile environment where we ship features frequently to create user delight
</b></p><p><b>Collaborate with teams across product, design, engineering, and quality to drive past the status quo
</b></p><p><b>Ensure quality of code base by writing tests and doing code reviews
</b></p><p><b>Build reusable code and libraries for future use
</b></p><p><b>Build next generation applications for desktop and mobile browsers with an emphasis on emotional experiences and constant attention to scalability, performance, accessibility and cross-browser compatibility
</b></p><br>
<p><b>Minimum Qualifications
</b></p><p><b>Bachelor’s degree in Computer Science and 5+ years directly related experience, or an equivalent combination of training and experience; or Master’s degree in Computer Science and 3+ years of experience.
</b></p><p><b>* At least 3 years of professional web application development experience working on the front end (JS, CSS, HTML).
</b></p><p><b>* Strong command of JavaScript, HTML, AJAX / JSONP, DOM, CSS, PHP, JSON, cross-browser compatibility issues and cross-browser rendering differences, and browser progressive enhancement strategies.
</b></p><p><b>* Direct experience creating web applications with NodeJS, React, CSS3, HTML5
</b></p><p><b>* Mastery of the CSS box model, and how various browsers implement the box model.
</b></p><p><b>* Working knowledge of optimization techniques (both in file weight and perceived/actual rendering speed).
</b></p><p><b>* Hands-on experience using device-portability techniques, internationalization techniques, and accessibility techniques.
</b></p><p><b>* Well versed with unit testing &amp; debugging techniques, particularly with front-end code (JS, CSS, XHR calls).
</b></p><p><b>* Experience using performance measurement tools to optimize front end code.
</b></p><p><b>* Good Ember.js skills and familiarity with Unix.
</b></p><p><b>* Good web security knowledge (Cross Site Scripting, SQL Injection, Input Validation).
</b></p><p><b>* Good project management skills, and ability to work on multiple projects at once.
</b></p><p><b>* Great sense of responsibility and attention to detail.
</b></p><p><b>* Good verbal and written communications skills in English.
</b></p><p><b>* Excellent interpersonal skills and team work.
</b></p><p><b>Preferred Job Qualifications
</b></p><p><b>* Experience in integrating with back-end web services, via REST-based APIs.
</b></p><p><b>* Knowledge of the Apache web server and web server configuration, and the HTTP protocol is helpful.
</b></p><p><b>* Demonstrated experience developing high performance sites.
</b></p><p><b>* Experience working with large-scale Internet applications.
</b></p><p><b>About Oath
</b></p><p><b>Oath, a subsidiary of Verizon, is a values-led company committed to building brands people love. We reach over one billion people around the world with a dynamic house of 50+ media and technology brands. A global leader in digital and mobile, Oath is shaping the future of media.
</b></p><p><b>Oath is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on, age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Oath is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. Please let us know if you need a reasonable accommodation to apply for a job or participate in the application process.
</b></p><br>
<br>
<p>Oath is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on, age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Oath is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. Please let us know if you need a reasonable accommodation to apply for a job or participate in the application process.
</p><br>
<br>
<p><i>Currently work for Oath? Please apply on our internal career site.</i></p></div></span>",5 reviews,"Sunnyvale, CA"
Senior Machine Learning Research Scientist,Baidu USA,"<span id=""job_summary"" class=""summary"">Baidu USA, located in Silicon Valley, is seeking experienced Research Scientists with strong machine learning backgrounds. Our mission is to advance AI state of the art, realizing significant impact on hundreds of millions of users. As a research leader at Baidu, you will be uniquely positioned to contribute to this mission. You will shape the technical vision and strategy that will drive progress in AI.
<br><br>
By providing a great learning environment and software/hardware infrastructure we aim to help you and your team make rapid progress on the most challenging AI research problems. We will give you the best possible platform to contribute to this mission through access to bleeding edge high performance computing (HPC) research systems, large datasets, and feedback from AI products deployed at scale in Baidu.
<br><br>
With an emphasis on deep learning, our work spans computer vision, speech recognition, natural language processing, and many other areas.
<br><br>
<b>Here's what you will do:</b><br>
<ul>
<li>Develop and perform research to advance AI state-of-the-art. This includes project planning, literature review, and developing proofs-of-concept.</li>
<li>Communicate your research both internally among AI researchers and externally through presentations, publications, and open source contributions.</li>
<li>Engage in team collaborations to meet research goals.</li>
</ul>
You will be working with a team of highly talented researchers and engineers, who are focused on advancing AI state of the art.
<br><br>
<b>Here's what we'd like to see in you:</b><br>
<ul>
<li>PhD in Computer Science, related technical field or equivalent practical experience.</li>
<li>A track record of influential AI research or a related domain.</li>
<li>Able to write code. While we appreciate the theoretical understanding, it is important that you are also able to write good code in languages such as C++/Java/Python/CUDA (i.e., not just Matlab).</li>
</ul>
<b>Culture fit:</b><br>
<ul>
<li>Mission alignment: If you want to advance AI, we will give you the best possible platform to do that. If you are on a different mission, then we are not a good fit.</li>
<li>Team orientation: We work in small, fast-moving teams. We don't believe in lone wolves and go out of our way to support each other.</li>
<li>Self-directed: We work best with people that are driven, motivated, and aspire to greatness. Are you the sort of person that, if you had time on your hands, will independently find interesting and useful things to do?</li>
<li>Hungry to learn: We are eager to teach you new skills. But learning is hard work and this is something we hope you want to do.</li>
</ul>
</span>",,"Sunnyvale, CA 94089"
Sr. SDTM Programmer,"Pharmacyclics, an Abbvie Company","<span id=""job_summary"" class=""summary""><div>Pharmacyclics is committed to the development and commercialization of novel therapies intended to improve the quality and duration of life and to resolve serious unmet medical needs for cancer patients. Pharmacyclics is a wholly-owned subsidiary of AbbVie (NYSE:ABBV), a global, research-based biopharmaceutical company. Oncology is a key therapeutic area for AbbVie, with a portfolio consisting of three marketed products and a pipeline containing multiple promising new molecules that are being studied in more than 200 clinical trials for over 20 different types of cancer.<br>
<br>
More than 1,200 Pharmacyclics and AbbVie research scientists, clinicians, marketing, operations and corporate professionals work in the San Francisco Bay Area. They combine their expertise in immuno-oncology, stem cells, and cell-signaling with their knowledge of bispecific antibodies, antibody-drug conjugates (ADCs), and covalent-inhibitor technologies to discover and develop novel cancer treatments. Together, we are striving to outsmart cancer.<br>
<b>General Position Summary / Purpose:</b>
<br>
The Sr. SDTM Programmer position will assume CDISC SDTM data programming responsibilities for multiple studies. Major responsibilities include SAS programming activities to generate and/or validate SDTM datasets by reviewing annotated CRFs, mapping specifications, OpenCDISC issues, as well as by risk-based QC approaches. This role will also work with statisticians and SDTM vendors to ensure data completeness, correctness, and consistency according to Pharmacyclics standard.<br>
As needed, this role may also generate clinical programming deliverables to support data cleaning and monitoring activities, including data listings, edit checks, study metrics, reconciliation reports, dictionary coding files, and coded datasets used for statistical analysis.<br>
<b>Key Accountabilities/Core Job Responsibilities:</b>
<br>
<ul><li>Programming (75%)
<ul><li>Develop and/or validate SDTM datasets for statistical analysis and regulatory submission
</li><li>Develop and verify SAS programs/macros to generate data listings, edit checks, study metrics, and reconciliation reports
</li><li>Develop and verify SAS programs/macros to generate MedDRA/WHODrug dictionary coding files and coded datasets
</li><li>Support ad hoc and urgent programming tasks as assigned by management
</li></ul></li><li>Communication (10%)
<ul><li>Work with statisticians to clarify and document SDTM derivation logic in the mapping specifications
</li><li>Work with other statistical programmers to ensure consistent mapping specifications are applied across studies per Pharmacyclics convention
</li><li>Work with data managers to ensure data issues are communicated and addressed in a timely manner
</li></ul></li><li>Standards (10%)
<ul><li>Monitor CDISC and regulatory guidance regarding SDTM Implementation
</li><li>Perform impact assessment and change control for standard version upgrade
</li></ul></li><li>Process (5%)
<ul><li>Adhere to existing SOPs and work instructions
</li></ul></li></ul><b>Qualifications:</b>
<br>
<ul><li>Knowledge:
<ul><li>CDISC SDTM standard
</li><li>MedDRA and WHODrug dictionaries
</li><li>FDA 21 CFR Part 11 guidelines
</li><li>Software Development Life Cycle (SDLC)
</li></ul></li><li>Skills/Abilities:
<ul><li>Base SAS and SAS Macro programming
</li><li>Windows operating system
</li><li>Microsoft Office applications
</li></ul></li></ul><b>Education Requirements (degree, certifications, etc.): Include must have and preferred</b>
<br>
<ul><li>BS/MS in Statistics, Math or Scientific Discipline.
</li></ul>#LI-SH13<br>
Equal Opportunity Employer Minorities/Women/Veterans/Disabled</div></span>",26 reviews,"Sunnyvale, CA"
Lead Data Engineer - A/B Testing/Measurement Platform,TARGET,"<span id=""job_summary"" class=""summary""><div>Description:
<div><b>JOIN US AS A LEAD DATA ENGINEER – A/B TESTING AND OPTIMIZATION
</b></div><br>
<div>The Data Science and Engineering team at Target in Sunnyvale is a hyper-growing, dynamic and collaborative team of engineers. The Lead Data Engineer at Target work closely with our Data Scientists to build large scale data pipelines utilizing Java, Spark, Scala, Kafka, etc. for numerous enterprise data product/services.
</div><div><b>About this Opportunity</b></div><br>
<div>As a Lead Data Engineer, you’ll have the opportunity to build robust data pipelines, using Agile practices and DevOps principles. Responsibilities will include designing, programming, debugging and supporting high quality, distributed, and large-scale software solutions on the latest Big Data tech stack. Specifically, you’ll be designing and scaling the data engineering efforts for a global A/B Testing and Optimization platform utilized by Target.com – Web Adaptive and Mobile development end-users.</div><br>
<div>We are looking for a highly motivated engineering professional who is a team player and can engage with both technical and business team members while mentoring/developing Sr Data Engineers on our team.</div><br>
<div><b>Key Responsibilities:
</b></div><ul><li><div>Develop software systems using test driven development employing CI/CD practices</div></li><li><div>
Partner with other engineers and team members to develop software that meets business needs</div></li><li><div>
Follow Agile methodology for software development and technical documentation</div></li><li><div>
Innovate constantly and stay current with latest Big Data technologies while staying focused on solving large scale and challenging problems in retail and ecommerce.
</div></li></ul><div><b>Requirements</b></div><ul><li>
BS degree in Computer Science or relevant experience
</li><li><div>5+ years’ experience in developing software applications</div></li><li><div>
3+ years’ experience working on Big Data technologies like Hadoop, Spark, Scala and Hive
</div></li><li><div>Extensive understanding of application/software development and design</div></li><li><div>
Proficiency in at-least one of the following languages: Java, Scala, Python</div></li><li><div>
Hands on experience and knowledge of Kafka streaming solutions</div></li><li><div>
Worked on building and supporting Web Services</div></li><li><div>
Experience with REST APIs’ and services preferred</div></li></ul><br>
Qualifications:</div></span>","33,275 reviews","Sunnyvale, CA"
"Associate Director, Clinical Science","Pharmacyclics, an Abbvie Company","<span id=""job_summary"" class=""summary""><div>Pharmacyclics is committed to the development and commercialization of novel therapies intended to improve the quality and duration of life and to resolve serious unmet medical needs for cancer patients. Pharmacyclics is a wholly-owned subsidiary of AbbVie (NYSE:ABBV), a global, research-based biopharmaceutical company. Oncology is a key therapeutic area for AbbVie, with a portfolio consisting of three marketed products and a pipeline containing multiple promising new molecules that are being studied in more than 200 clinical trials for over 20 different types of cancer.<br>
<br>
More than 1,200 Pharmacyclics and AbbVie research scientists, clinicians, marketing, operations and corporate professionals work in the San Francisco Bay Area. They combine their expertise in immuno-oncology, stem cells, and cell-signaling with their knowledge of bispecific antibodies, antibody-drug conjugates (ADCs), and covalent-inhibitor technologies to discover and develop novel cancer treatments. Together, we are striving to outsmart cancer.<br>
<br>
To learn more about us, please visit us at http://www.pharmacyclics.com /<br>
<br>
This position is responsible in conjunction with the Medical Monitor for the scientific planning, monitoring and reporting of assigned clinical trials. The Clinical Research Scientist assists the cross-functional study team (SMT) addressing protocol questions, including preparation of clinical study protocols, patient informed consents, and other core documents which are central to clinical and scientific trial conduct. This position reports to a Clinical Science Project Lead.<br>
<br>
<b>Key Accountabilities/Core Job Responsibilities:</b><br>
<ul><li>Support the medical monitor and/or Head of Therapeutic Area with the development of program-level documents, including but not limited to clinical protocols, clinical study reports, abstract and manuscripts, presentations, investigator brochures, and various other internal and external documents and communications as needed
</li><li>Coordinate Steering Committee meetings as well as independent DMC meetings
</li><li>Assist clinical team addressing protocol questions, on study protocol related questions from clinical sites. Assist with protocol and study conduct training of CRAs, study coordinators, and investigators.
</li><li>Functions as primary medical monitor on study protocols as appropriate
</li><li>Works with project management to coordinate review cycle process as appropriate
</li><li>Assist with responding to regulatory questions as well as respond to site IRB or EC questions
</li><li>Responsible for compiling clinical content and maintenance of various clinical components of regulatory documents, including Briefing documents/EOP2 packages/INDs/BLAs/NDAs
</li><li>Assists in competitive intelligence and application to clinical protocol development
</li><li>Serves as the clinical representative on various project sub-teams and addresses a broad range of problems, including review of medical affairs documents (protocols and publications) in the assigned Therapeutic Area
</li><li>Effectively collaborate with cross-functional internal groups and external partners, as well as work effectively with external key opinion leaders
</li><li>Ensures that the clinical elements of documents are of quality, accuracy and format and comply with laws, regulations and corporate standards
</li><li>Develop and maintain departmental processes, policies, SOPs and associated documents as needed
</li><li>Performs data listing and patient profile review to support programs in the Therapeutic Area.
</li></ul><b>Qualifications:</b><br>
<ul><li>Requires strong writing and verbal communication skills
</li><li>Requires ability to work closely and effectively across functions
</li><li>Requires knowledge and experience in clinical trial conduct
</li></ul><br>
<b>Education Requirements:</b><br>
<ul><li>BS, MS or equivalent (Years of Experience in the industry)
</li><li>PhD, PharmD, MD or equivalent
</li></ul>Equal Opportunity Employer Minorities/Women/Veterans/Disabled</div></span>",26 reviews,"Sunnyvale, CA"
"Principal Scientist, Medicinal Chemistry","Pharmacyclics, an Abbvie Company","<span id=""job_summary"" class=""summary""><div>Pharmacyclics is committed to the development and commercialization of novel therapies intended to improve the quality and duration of life and to resolve serious unmet medical needs for cancer patients. Pharmacyclics is a wholly-owned subsidiary of AbbVie (NYSE:ABBV), a global, research-based biopharmaceutical company. Oncology is a key therapeutic area for AbbVie, with a portfolio consisting of three marketed products and a pipeline containing multiple promising new molecules that are being studied in more than 200 clinical trials for over 20 different types of cancer.<br>
<br>
More than 1,200 Pharmacyclics and AbbVie research scientists, clinicians, marketing, operations and corporate professionals work in the San Francisco Bay Area. They combine their expertise in immuno-oncology, stem cells, and cell-signaling with their knowledge of bispecific antibodies, antibody-drug conjugates (ADCs), and covalent-inhibitor technologies to discover and develop novel cancer treatments. Together, we are striving to outsmart cancer.<br>
<br>
To learn more about us, please visit us at http://www.pharmacyclics.com/<br>
<b>Principal Research Scientist, Medicinal Chemistry</b><br>
We are expanding a world-class medicinal chemistry team to drive innovation in small molecule oncology Discovery. The <b>Principal Research Scientist</b> will lead this expansion and manage medicinal chemistry team in support of small-molecule Drug Discovery. Working with the project director and line manager, he/she will be responsible for driving medicinal chemistry of assigned projects and ensuring the delivery of high quality tools, leads and candidate molecules within competitive time-frames. The candidate will participate in planning and implementing the short-term strategy and long-term vision of the supported project team.<br>
<br>
<b>Responsibilities:</b><br>
<br>
<ul><li>Directly contribute to high quality candidate delivery at the bench level as a synthetic chemist.
</li><li>Familiar with modern drug discovery design and modeling tools, able to anticipate challenges and creatively apply knowledge of the latest concepts and technology platforms to solve problems.
</li><li>Responsible for developing medicinal chemistry strategies and ensuring efficient execution of tactics to meet project goals.
</li><li>Provide scientific oversight and accept accountability of medicinal chemistry activities in assigned projects.
</li><li>Manage a medicinal chemistry team of multiple MS/PhD-level scientists within ongoing hit to tool and lead optimization projects, develop the capabilities of the staff through mentoring and by promoting a culture that embraces open scientific debate and agile, accountable decision-making.
</li><li>Ensure the team maintains the highest laboratory safety standards.
</li><li>Effectively augment SAR by coordinating medicinal and synthetic organic chemistry outsourcing activities and collaborations within assigned projects.
</li><li>Quick learner of project biology, DMPK, safety and toxicological data to enable design and interpretation of project study results.
</li><li>Demonstrate strategic thinking and have excellent communication skills, effectively communicate to internal and external partner pharmacology groups and senior management through oral presentations and written reports.
</li><li>Establish strong, productive relationships with key partners and diverse groups across R&amp;D disciplines through clear, transparent communication of medicinal chemistry strategies and progress. B
</li><li>Build a strong network and ensure visibility in the medicinal and synthetic organic chemistry field by participation in scientific meetings and by publishing high quality science.
</li></ul><br>
<b>Qualifications:</b>
<br>
<ul><li>PhD/PostDoc in synthetic organic/medicinal chemistry.
</li><li>10+ (Ph.D) years medicinal chemistry and drug discovery industrial experience.
</li><li>Deep knowledge of biology, pharmacology, and DMPK principles
</li><li>Experience with all phases of drug discovery from hit identification to delivery of development candidates using state-of-the-art platform technologies.
</li><li>Proven ability to innovate and a track record of significant scientific contributions with publications in peer-reviewed journals and protection of intellectual property through patents.
</li><li>Experience effectively managing, supervising and leading other professionals.
</li><li>Exceptional communication skills; ability to develop, implement and clearly communicate chemistry/project strategies to team, management and collaborators.
</li><li>Strong interpersonal and influencing skills and comfort working in a rapidly changing environment.
</li><li>Ability and track record to lead the delivery of candidate transitions through LO and clinical candidate selection.
</li><li>Ability to work across disease/therapeutic areas and diverse teams.
</li><li>Proficient in assessing patent landscape and independently driving patent filing to protect project intellectual properties
</li></ul><br>
<b>Key Leadership Competencies </b>:<br>
<ul><li>Builds strong relationships with peers and cross functionally with partners outside of team to enable higher performance.
</li><li>Learns fast, grasps the ""essence"" and can change course quickly where indicated.
</li><li>Raises the bar and is never satisfied with the status quo.
</li><li>Creates a learning environment, open to suggestions and experimentation for improvement.
</li><li>Embraces the ideas of others, nurtures innovation and manages innovation to reality.
</li></ul>Equal Opportunity Employer Minorities/Women/Veterans/Disabled</div></span>",26 reviews,"Sunnyvale, CA"
Sr. Machine Learning Engineer,Amazon.com,"<span id=""job_summary"" class=""summary""><div><h2 class=""jobSectionHeader""><b>Job Description
</b></h2><div><div><div>Amazon Lab126 is an inventive research and development company that designs and engineers high-profile devices like the Kindle family of products. Lab126 began in 2004 as a subsidiary of Amazon.com, Inc. Since then, we have worked to produce best-selling e-readers and tablets, as well as new inventions like Fire TV. What will you help us create?<br>
<br>
Work hard. Have fun. Make history.<br>
<br>
<b>The Role:</b><br>
We are seeking a Sr. Machine Learning Engineer to join the Fire OS data science team. We are responsible for measuring the health of our products - Fire TVs, Fire Tablets, and Echos. We conduct data research and find ways to apply statistical and machine learning techniques to solve business problems across all aspects of the organization. In this role, you will:<br>
<ul><li>Work with Data Scientists to design and implement machine learning applications and solutions.</li><li>
Implement and maintain a high-volume, highly available, hybrid (SQL + NoSQL) data processing infrastructure that consists of structured and semi-structured data</li><li>
Design and implement a very large distributed data warehousing and reporting solution and integrate it with 3rd-party business intelligence tools</li></ul><br>
</div></div></div><h2 class=""jobSectionHeader""><b>Basic Qualifications
</b></h2><div><div><div><ul><li>5+ years of experience in software development of large-scale data infrastructure and distributed systems</li><li>
5+ years of experience in data extraction, transformation, statistical analysis and data modeling</li><li>
5+ years of experience developing enterprise software using Java or Python</li><li>
3+ years of experience in applying Data Mining and Machine Learning techniques to solve business problems</li><li>
3+ years of experience using major RDBMS, Hadoop, Spark, Elasticsearch, or similar technologies</li><li>
3+ years of experience with statistical modeling tools such as R, SAS, SciKit-learn, or TensorFlow</li><li>
Bachelor’s degree in Computer Science, Computer Engineering, Machine Learning, or related field or equivalent experience.</li></ul><br>
</div></div></div><h2 class=""jobSectionHeader""><b>Preferred Qualifications
</b></h2><div><div><div><ul><li>Master’s degree in Computer Science, Computer Engineering, Machine Learning, or related field; PhD a plus</li><li>
Deep expertise in Statistics, Machine Learning or related disciplines</li><li>
Advanced knowledge in performance, scalability, numerical accuracy, enterprise system architecture, best practice
</li><li>
Experience building solutions using AWS big data and machine learning services</li><li>
Ability to communicate complex technical concepts and solutions to all levels of the organization</li></ul><br>
Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation</div></div></div></div></span>","25,907 reviews","Sunnyvale, CA"
