"","prime_genre","Number","NR","Rating","Size","Price","ND","NL"
"1","Book",112,5125.4375,2.47767857142857,178820626.285714,1.79053571428571,37.5446428571429,2.375
"2","Business",57,4788.08771929825,3.74561403508772,64168492.9122807,5.11631578947368,36.1228070175439,10.6842105263158
"3","Catalogs",10,1732.5,2.1,50181632,0.799,37.3,2.4
"4","Education",453,2239.22958057395,3.37637969094923,180424221.339956,4.02823399558499,36.6754966887417,7.20529801324503
"5","Entertainment",535,7533.6785046729,3.24672897196262,101478721.020561,0.889700934579439,36.6710280373832,4.52897196261682
"6","Finance",104,11047.6538461538,2.43269230769231,78235859.2884615,0.421153846153846,36.8365384615385,2.25
"7","Food & Drink",63,13938.619047619,3.18253968253968,77594997.8412698,1.55238095238095,36.9206349206349,3.57142857142857
"8","Games",3862,13691.9966338685,3.68500776799586,283658300.497929,1.43292335577421,38.0183842568617,4.58777835318488
"9","Health & Fitness",180,9913.17222222222,3.7,90106641.0666667,1.91644444444444,35.8888888888889,6.66111111111111
"10","Lifestyle",144,6161.76388888889,2.80555555555556,62306467.5069444,0.885416666666667,37.0694444444444,4.77777777777778
"11","Medical",23,592.782608695652,3.3695652173913,376389008.695652,8.77608695652174,36.6521739130435,3.69565217391304
"12","Music",138,28842.0217391304,3.97826086956522,109635637.57971,4.8354347826087,35.4710144927536,7.13768115942029
"13","Navigation",46,11853.9565217391,2.68478260869565,103354485.282609,4.12478260869565,36.2391304347826,6
"14","News",75,13015.0666666667,2.98,62470853.2666667,0.517733333333333,36.56,2.88
"15","Photo & Video",349,14352.2808022923,3.80085959885387,68521904.7793696,1.47329512893983,36.756446991404,9.6647564469914
"16","Productivity",178,8051.32584269663,4.00561797752809,78440637.8426966,4.33056179775281,36.0393258426966,11.0505617977528
"17","Reference",64,22410.84375,3.453125,155162683.1875,4.836875,36.5625,5.4375
"18","Shopping",122,18615.3278688525,3.54098360655738,93346832.7868852,0.0163114754098361,36.6229508196721,3.77049180327869
"19","Social Networking",167,45498.8982035928,2.98502994011976,79372439.5628743,0.339880239520958,36.5209580838323,9.12574850299401
"20","Sports",114,14026.9298245614,2.98245614035088,78873573.0526316,0.953070175438597,36.9210526315789,4.14035087719298
"21","Travel",81,14129.4444444444,3.37654320987654,82706912.3950617,1.12037037037037,37.0123456790123,7.59259259259259
"22","Utilities",248,6863.82258064516,3.27822580645161,54290060.6491935,1.64762096774194,36.6854838709677,6.52016129032258
"23","Weather",72,22181.0277777778,3.59722222222222,61441379.5555556,1.60541666666667,36.6527777777778,7.31944444444444
